,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,240.06,52.0,28.0,12.3,12.3,21.4,74.0 ,52.0,28.0,12.0,12.0,22.0,74.0 ,76.65,55.1,30.6,12.4,12.4,21.6,41.44,8.16,49.60,41.28,8.16,49.44,24.88,8.16,33.04,41.12,8.12,49.24,41.12,8.12,49.24,24.50,8.12,32.62,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
130,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,235.99,52.0,28.0,12.3,12.3,21.4,73.9 ,52.0,28.0,12.0,12.0,22.0,74.0 ,77.97,52.9,28.7,12.5,12.3,21.6,41.92,8.16,50.08,41.28,8.16,49.44,24.88,8.16,33.04,41.00,8.12,49.12,41.00,8.12,49.12,24.50,8.12,32.62,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
140,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,256.75,52.0,28.0,12.3,12.3,21.3,73.8 ,52.0,28.0,12.0,12.0,22.0,74.0 ,71.67,55.1,30.2,12.4,12.3,21.6,41.36,8.16,49.52,41.20,8.08,49.28,24.80,8.16,32.96,40.87,8.12,48.99,40.87,8.12,48.99,24.50,8.12,32.62,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
150,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,243.95,52.0,28.0,12.2,12.2,21.3,73.8 ,52.0,28.0,12.0,12.0,22.0,74.0 ,75.42,52.7,28.6,12.3,12.3,21.5,41.12,8.08,49.20,41.04,8.08,49.12,24.80,8.16,32.96,40.87,8.12,48.99,40.87,8.12,48.99,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
160,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,230.17,52.0,28.0,12.2,12.2,21.3,73.7 ,52.0,28.0,12.0,12.0,22.0,74.0 ,79.94,54.8,30.0,12.6,12.3,21.5,42.40,8.16,50.56,41.04,8.08,49.12,24.80,8.16,32.96,40.87,8.12,48.99,40.87,8.12,48.99,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
170,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,256.28,52.0,28.0,12.2,12.2,22.4,74.9 ,52.0,28.0,12.0,12.0,22.0,74.0 ,71.80,52.7,28.5,12.3,12.3,21.5,41.12,8.08,49.20,40.88,8.08,48.96,24.72,8.08,32.80,40.75,8.12,48.87,40.75,8.12,48.87,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
180,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,270.36,52.0,28.0,12.2,12.2,22.4,74.8 ,52.0,28.0,12.0,12.0,22.0,74.0 ,68.06,54.4,29.7,12.3,12.2,21.4,41.20,8.08,49.28,40.88,8.08,48.96,24.64,8.08,32.72,40.75,8.12,48.87,40.75,8.12,48.87,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
190,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,255.92,52.0,28.0,12.2,12.2,21.2,73.6 ,52.0,28.0,12.0,12.0,22.0,74.0 ,71.90,52.6,28.5,12.4,12.2,21.4,41.28,8.16,49.44,40.88,8.08,48.96,24.64,8.08,32.72,40.75,8.12,48.87,40.75,8.12,48.87,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
200,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,234.19,52.0,28.0,12.2,12.2,21.2,73.6 ,52.0,28.0,12.0,12.0,22.0,74.0 ,78.57,54.3,29.6,12.6,12.2,21.4,42.24,8.08,50.32,40.80,8.08,48.88,24.64,8.08,32.72,40.75,8.12,48.87,40.75,8.12,48.87,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
210,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,241.46,52.0,28.0,12.2,12.2,22.4,74.7 ,52.0,28.0,12.0,12.0,22.0,74.0 ,76.20,52.6,28.4,12.6,12.2,21.4,42.48,8.08,50.56,40.72,8.08,48.80,24.56,8.08,32.64,40.75,8.12,48.87,40.75,8.12,48.87,24.37,8.12,32.49,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
