,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,12.76,510.40,0.43,13.19,527.60,0.45,327.55,343.94,17.5,14.0,14.5,14.5,14.7,57.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.50,17.6,14.2,14.5,14.5,14.9,49.84,8.24,58.08,49.92,8.24,58.16,17.04,8.24,25.28,49.62,8.25,57.87,49.62,8.25,57.87,16.75,8.25,25.00,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
150,12.78,511.20,0.43,13.19,527.60,0.45,327.55,336.52,17.5,14.0,14.4,14.4,14.6,57.5 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.68,18.4,15.0,14.5,14.5,14.9,49.68,8.24,57.92,49.76,8.16,57.92,17.04,8.24,25.28,49.62,8.25,57.87,49.62,8.25,57.87,16.62,8.12,24.74,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
160,12.82,512.80,0.43,13.19,527.60,0.45,327.55,319.46,17.5,14.0,14.4,14.4,14.6,57.5 ,17.5,14.0,14.0,14.0,14.1,56.1 ,57.60,17.7,14.1,14.9,14.5,14.9,51.28,8.40,59.68,49.76,8.16,57.92,16.96,8.24,25.20,49.37,8.25,57.62,49.37,8.25,57.62,16.62,8.25,24.87,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
170,12.83,513.20,0.43,13.19,527.60,0.45,327.55,346.05,17.5,14.0,14.4,14.4,14.6,57.3 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.17,18.3,14.7,14.4,14.4,14.8,49.44,8.24,57.68,49.52,8.16,57.68,16.88,8.24,25.12,49.37,8.25,57.62,49.37,8.25,57.62,16.62,8.12,24.74,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
180,12.86,514.40,0.44,13.19,527.60,0.45,327.55,343.98,17.5,14.0,14.4,14.4,14.6,57.3 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.49,17.7,14.0,14.4,14.4,14.8,49.52,8.16,57.68,49.52,8.16,57.68,16.88,8.24,25.12,49.25,8.12,57.37,49.25,8.12,57.37,16.50,8.25,24.75,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
190,12.87,514.80,0.44,13.19,527.60,0.45,327.55,343.33,17.5,14.0,14.3,14.3,14.5,57.2 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.59,18.3,14.5,14.4,14.4,14.7,49.44,8.16,57.60,49.36,8.16,57.52,16.80,8.24,25.04,49.25,8.12,57.37,49.25,8.12,57.37,16.50,8.12,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
200,12.89,515.60,0.44,13.19,527.60,0.45,327.55,339.93,17.5,14.0,14.3,14.3,14.5,57.2 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.13,17.7,13.9,14.4,14.4,14.7,49.36,8.16,57.52,49.28,8.16,57.44,16.80,8.16,24.96,49.12,8.12,57.24,49.12,8.12,57.24,16.50,8.12,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
210,12.92,516.80,0.44,13.19,527.60,0.45,327.55,350.71,17.5,14.0,14.3,14.3,14.3,56.9 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.47,18.2,14.4,14.3,14.4,14.7,49.20,8.16,57.36,49.28,8.16,57.44,16.72,8.16,24.88,49.12,8.12,57.24,49.12,8.12,57.24,16.50,7.75,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
220,12.92,516.80,0.44,13.19,527.60,0.45,327.55,344.33,17.5,14.0,14.3,14.3,14.5,57.1 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.44,17.7,13.8,14.4,14.3,14.7,49.28,8.16,57.44,49.28,8.16,57.44,16.72,8.16,24.88,49.00,8.12,57.12,49.00,8.12,57.12,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
230,12.93,517.20,0.44,13.19,527.60,0.45,327.55,347.70,17.5,14.0,14.3,14.3,14.4,57.0 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.92,18.2,14.3,14.3,14.3,14.6,49.20,8.24,57.44,49.12,8.08,57.20,16.72,8.16,24.88,49.00,8.12,57.12,49.00,8.12,57.12,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
