N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.37,124.73,0.0,CPU bound,2.37,124.73,15.244012944983819,,124.70,108.03,73.7,56.0,0.0,0.0,0.0,73.68,73.7,56.0,4.0,0.0,0.0,73.68,85.16,37.8,42.4,0.0,0.0,0.1,.32,0,.32,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,24.00,8.00,32.00,0,0,0,0,0,0
20,2.37,124.73,58.8213749697952,CPU bound,2.37,124.73,40.17741385192767,,124.16,126.96,73.7,56.0,14.6,5.3,0.0,75.97,73.7,56.0,10.0,8.0,0.0,74.00,72.46,36.7,30.1,12.1,6.8,0.1,87.20,9.36,96.56,22.40,4.96,27.36,.08,0,.08,105.75,11.37,117.12,15.87,5.50,21.37,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
30,2.37,124.73,48.39200566076152,CPU bound,2.37,124.73,40.17741385192767,,124.16,110.08,73.7,56.0,12.0,10.7,0.0,78.71,73.7,56.0,10.0,8.0,0.0,74.00,83.58,36.2,28.3,12.7,11.9,0.1,92.08,9.52,101.60,38.32,9.36,47.68,.08,0,.08,87.00,9.37,96.37,33.37,9.37,42.74,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
40,2.37,124.73,48.09226828699878,CPU bound,2.37,124.73,40.17741385192767,,124.16,133.56,73.7,56.0,12.0,10.2,0.0,78.21,73.7,56.0,10.0,8.0,0.0,74.00,68.88,38.4,30.6,11.8,13.7,0.1,85.76,8.56,94.32,46.48,8.48,54.96,.08,0,.08,86.37,9.37,95.74,31.50,9.37,40.87,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
50,2.37,124.73,51.50424112356492,CPU bound,2.37,124.73,49.813874788494076,,106.83,135.03,73.7,56.0,11.1,20.7,0.0,87.78,73.7,56.0,10.0,20.0,0.0,86.00,68.13,37.9,29.5,11.5,21.3,0.1,82.96,8.72,91.68,76.48,8.72,85.20,.08,0,.08,80.12,8.75,88.87,74.00,8.75,82.75,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
60,2.37,124.73,55.99052028417894,CPU bound,2.37,124.73,49.813874788494076,,106.83,136.42,73.7,56.0,11.2,22.5,0.0,89.72,73.7,56.0,10.0,20.0,0.0,86.00,67.44,37.6,28.9,11.2,22.6,0.1,81.04,8.40,89.44,82.24,8.32,90.56,.08,0,.08,81.00,8.87,89.87,81.00,8.87,89.87,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
70,2.37,124.73,53.59713895093063,CPU bound,2.37,124.73,49.813874788494076,,106.83,138.28,73.7,56.0,10.8,21.5,0.0,88.28,73.7,56.0,10.0,20.0,0.0,86.00,66.53,37.3,28.4,11.1,22.4,0.3,80.24,8.56,88.80,80.96,8.48,89.44,.40,.08,.48,77.62,8.50,86.12,77.62,8.50,86.12,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
80,1.17,61.57,149.34741623525747,CPU bound,2.37,124.73,49.813874788494076,,87.63,126.33,73.7,56.0,38.1,21.8,2.1,118.05,73.7,56.0,10.0,20.0,18.8,104.84,72.83,37.4,28.1,11.9,21.9,4.0,86.32,8.80,95.12,79.28,8.24,87.52,5.28,1.68,6.96,273.12,32.00,305.12,78.62,8.62,87.24,2.37,1.12,3.49,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
90,2.37,124.73,53.19086622516556,CPU bound,2.37,124.73,49.813874788494076,,87.63,104.80,73.7,56.0,10.6,21.2,23.1,110.87,73.7,56.0,10.0,20.0,18.8,104.84,87.78,37.3,27.8,11.2,21.7,14.0,80.80,8.56,89.36,78.56,8.40,86.96,17.52,6.24,23.76,76.25,8.37,84.62,76.25,8.37,84.62,29.37,9.87,39.24,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
100,2.37,124.73,53.31319986463622,CPU bound,2.37,124.73,49.813874788494076,,87.63,110.28,73.7,56.0,10.7,21.4,19.9,108.05,73.7,56.0,10.0,20.0,18.8,104.84,83.43,37.2,27.6,12.9,21.4,19.1,94.40,8.72,103.12,77.44,8.16,85.60,24.96,8.08,33.04,77.12,8.50,85.62,77.12,8.50,85.62,26.00,8.50,34.50,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
