,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,8.8,325.92,,,,,,,,,,52,54,0,0,0,54,186.31,1008.72,19.92,8.88,28.8,19.92,0,0,0,0,0.32,0.32,0.64
20,8.8,325.92,,8.8,325.92,,293.33,94.46,52,54,7,0,0,61,52,54,6,0,0,60,186.31,1008.72,19.92,8.88,28.8,19.92,0,0,0,0,0.32,0.32,0.64
30,8.8,325.92,,8.8,325.92,,266.66,108.27,52,54,6,7,0,67,52,54,6,6,0,66,162.55,709.68,20.88,8.72,29.6,20.88,17.68,8.08,25.76,17.68,0.32,0.32,0.64
40,8.8,325.92,,8.8,325.92,,251.31,109.47,52,54,10.7,6,0,70.7,52,54,10,6,0,70,160.77,704.64,35.6,8.64,44.24,35.6,18.32,8.4,26.72,18.32,0.32,0.32,0.64
50,8.8,325.92,,8.8,325.92,,251.42,116.32,52,54,10,6,0,70,52,54,10,6,0,70,151.3,593.76,34.56,8.4,42.96,34.56,18.08,8.32,26.4,18.08,0.32,0.32,0.64
60,8.8,325.92,,8.8,325.92,,251.42,114.51,52,54,10,6,0,70,52,54,10,6,0,70,153.7,610.48,34.08,8.32,42.4,34.08,18.32,8.24,26.56,18.32,0.32,0.32,0.64
70,8.8,325.92,,8.8,325.92,,251.31,122.63,52,54,10,6,0,70,52,54,10,6,0,70,143.52,546.08,33.76,8.24,42,33.76,19.68,8.16,27.84,19.68,0.32,0.32,0.64
80,8.8,325.92,,8.8,325.92,,251.31,127.24,52,54,10,6,0,70,52,54,10,6,0,70,138.33,564.72,34.4,8.24,42.64,34.4,20,8.16,28.16,20,0.32,0.24,0.56
90,8.8,325.92,,8.8,325.92,,251.31,89.8,52,54,10,6,0,70,52,54,10,6,0,70,195.99,520.16,33.36,8.24,41.6,33.36,24.08,8.16,32.24,24.08,0.48,0.4,0.88
100,8.8,325.92,,8.8,325.92,,237.83,117.31,52,54,10,10,0,74,52,54,10,10,0,74,150.02,537.6,33.2,8.16,41.36,33.2,31.76,8.16,39.92,31.76,0.32,0.32,0.64
