N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,51.74,2069.60,CPU bound,51.74,2069.60,,2066.51,182.74,17.8,14.0,0.0,0.0,0.0,17.8 ,17.8,14.0,0.0,0.0,0.0,17.8 ,201.37,148.7,125.6,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51.74,2069.60,CPU bound,51.74,2069.60,,1840.00,620.56,17.8,14.0,8.9,0.0,0.0,22.9 ,17.8,14.0,6.0,0.0,0.0,20.0 ,59.30,18.9,34.5,8.9,0.0,0.0,24.96,10.48,35.44,0,0,0,0,0,0,25.25,10.37,35.62,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,51.74,2069.60,CPU bound,51.74,2069.60,,1840.00,582.63,17.8,14.0,7.7,0.0,0.0,21.7 ,17.8,14.0,6.0,0.0,0.0,20.0 ,63.16,27.4,36.2,8.5,4.2,0.0,24.56,9.36,33.92,12.32,4.64,16.96,0,0,0,21.37,9.37,30.74,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,35.87,1434.80,0.98,32.85,1314.00,0.89,1082.35,523.64,17.8,14.0,12.8,7.2,0.0,34.0 ,17.8,14.0,14.0,6.0,0.0,34.0 ,70.28,32.5,34.8,13.9,7.4,0.0,46.56,9.04,55.60,20.80,8.96,29.76,0,0,0,42.37,8.87,51.24,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,29.73,1189.20,0.81,32.85,1314.00,0.89,1082.35,514.13,17.8,14.0,15.5,6.9,0.0,36.4 ,17.8,14.0,14.0,6.0,0.0,34.0 ,71.58,35.0,34.0,15.5,7.1,0.0,53.12,8.80,61.92,19.84,8.72,28.56,0,0,0,53.12,8.75,61.87,19.00,8.75,27.75,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,30.23,1209.20,0.82,32.85,1314.00,0.89,1081.88,756.50,17.8,14.0,15.2,6.9,0.0,36.1 ,17.8,14.0,14.0,6.0,0.0,34.0 ,48.65,17.9,19.0,15.3,6.9,0.0,52.32,8.72,61.04,19.20,8.56,27.76,0,0,0,52.25,8.62,60.87,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,30.64,1225.60,0.83,32.85,1314.00,0.89,1082.35,717.52,17.8,14.0,15.0,6.9,0.0,35.9 ,17.8,14.0,14.0,6.0,0.0,34.0 ,51.29,21.6,22.1,15.1,8.4,0.0,51.68,8.56,60.24,25.20,8.48,33.68,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,30.97,1238.80,0.84,32.85,1314.00,0.89,1082.35,633.09,17.8,14.0,14.9,6.9,0.0,35.8 ,17.8,14.0,14.0,6.0,0.0,34.0 ,58.13,24.8,23.3,15.0,10.0,0.0,51.68,8.48,60.16,31.68,8.40,40.08,0,0,0,51.00,8.37,59.37,19.25,8.37,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
90,31.14,1245.60,0.85,32.85,1314.00,0.89,1082.35,624.75,17.8,14.0,14.8,7.0,0.0,35.8 ,17.8,14.0,14.0,6.0,0.0,34.0 ,58.90,26.9,24.2,14.8,12.8,0.0,50.96,8.40,59.36,42.64,8.40,51.04,0,0,0,50.75,8.37,59.12,19.62,8.37,27.99,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
100,31.31,1252.40,0.85,32.85,1314.00,0.89,1081.88,782.12,17.8,14.0,14.7,7.1,0.0,35.8 ,17.8,14.0,14.0,6.0,0.0,34.0 ,47.05,18.0,16.5,14.7,14.4,0.0,50.56,8.32,58.88,49.04,8.32,57.36,0,0,0,50.37,8.37,58.74,20.12,8.37,28.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
