N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.71,0,32.3310012643747,0.05,2.29,0,24.1064483111566,0.06,10.8,12.3,8.1,0,0,36.09,254.9,12.3,9,8,0,0,17.05,1079.17,12.3,12,9,0,0,21,1226.66,54.64,10.4,65.04,0,0,0,0,0,0,54,10.37,64.37,0,0,0,0,0,0,40,8,48,0,0,0,0,0,0
20,1.63,0,33.7975084558804,0.06,1.85,0,29.8883248730964,0.06,11.3,11.9,6.9,14.6,0,36.34,253.15,12.3,9,6.8,13.6,0,29.36,626.7,12.3,9,9,15.36,0,33.36,681.48,45.92,8.88,54.8,49.6,8.88,58.48,0,0,0,45.37,8.87,54.24,45.37,8.87,54.24,0,0,0,40,8,48,40,8,48,0,0,0
30,1.7,0,32.5208576637412,0.06,1.85,0,29.8883248730964,0.06,9.5,9.9,7,13.6,0,37.7,244.04,12.3,9,6.5,13.1,0,28.59,643.58,12.3,9,9,15.36,0,33.36,681.48,47.28,8.64,55.92,45.68,8.56,54.24,0.08,0,0.08,43.62,8.62,52.24,43.62,8.62,52.24,0,0,0,40,8,48,40,8,48,0,0,0
40,1.74,0,31.7361212856205,0.06,1.85,0,29.8883248730964,0.06,10.2,10.4,6.8,13.1,0,37.01,248.61,12.3,9,6.4,12.7,0,28.11,654.57,12.3,9,9,15.36,0,33.36,681.48,45.92,8.48,54.4,44.16,8.48,52.64,0.08,0,0.08,42.5,8.37,50.87,42.5,8.37,50.87,0,0,0,40,8,48,40,8,48,0,0,0
50,1.76,0,31.3985125049371,0.06,1.85,0,29.8883248730964,0.06,9.3,9.5,6.8,12.9,0,36.6,251.33,12.3,9,6.3,12.6,0,27.91,659.26,12.3,9,9,15.36,0,33.36,681.48,45.76,8.4,54.16,43.12,8.32,51.44,0,0,0,42.12,8.37,50.49,42.12,8.37,50.49,0,0,0,40,8,48,40,8,48,0,0,0
60,1.77,0,31.1009938409475,0.06,1.85,0,29.8883248730964,0.06,9.9,9.9,6.7,12.7,0.6,37.34,246.35,12.3,9,6.2,12.5,0,27.73,663.54,12.3,9,9,15.36,0,33.36,681.48,45.04,8.32,53.36,42.48,8.32,50.8,1.04,0.08,1.12,41.62,8.25,49.87,41.62,8.25,49.87,0,0,0,40,8,48,40,8,48,0,0,0
70,0.78329,0,70.4721681032771,0.06,0.78672,0,70.1648460774578,0.06,9.3,9.4,6.6,12.5,10.4,50.6,181.82,12.3,9,6.2,12.4,27.8,55.44,331.89,12.3,9,9,15.36,39.7,73.06,336.44,44.24,8.32,52.56,41.92,8.24,50.16,16.4,1.68,18.08,41.5,8.25,49.75,41.5,8.25,49.75,40,8.25,48.25,40,8,48,40,8,48,40,8,48
80,0.76368,0,72.281953366435,0.06,0.78672,0,70.1648460774578,0.06,9.7,9.9,6.4,12.5,25.1,69.67,132.04,12.3,9,6.2,12.4,28.5,56.07,328.16,12.3,9,9,15.36,39.7,73.06,336.44,42.8,8.24,51.04,41.6,8.24,49.84,37.12,6.4,43.52,41.25,8.25,49.5,41.25,8.25,49.5,41.25,8.25,49.5,40,8,48,40,8,48,40,8,48
90,0.76597,0,72.0658456405164,0.06,0.78672,0,70.1648460774578,0.06,10.2,10,6.3,12.4,28.5,72.36,127.15,12.3,9,6.2,12.3,28.4,55.92,329.04,12.3,9,9,15.36,39.7,73.06,336.44,42.48,8.24,50.72,41.36,8.16,49.52,41.36,8.08,49.44,41.12,8.12,49.24,41.12,8.12,49.24,41.12,8.25,49.37,40,8,48,40,8,48,40,8,48
100,0.7688,0,71.8001874635308,0.06,0.78672,0,70.1648460774578,0.06,9.6,9.7,6.3,12.3,28.6,73.25,125.6,12.3,9,6.1,12.3,28.3,55.76,329.98,12.3,9,9,15.36,39.7,73.06,336.44,42.4,8.16,50.56,41.2,8.16,49.36,41.44,8.24,49.68,41,8.12,49.12,41,8.12,49.12,41,8.12,49.12,40,8,48,40,8,48,40,8,48
