,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,2.77,102.59,,102.67,276.08,,,,,,,187.0,112.0,0.0,0.0,0.0,187.0 ,69.55,724.00,0,0,0,0,0,0,0,0,0,0,0
20,2.77,102.59,,2.77,102.59,,102.67,292.31,187.0,112.0,3.5,0.0,0.0,187.0 ,187.0,112.0,3.0,0.0,0.0,187.0 ,65.68,615.36,20.16,9.12,29.28,20.16,0,0,0,0,0,0,0
30,2.77,102.59,,2.77,102.59,,102.67,378.40,187.0,112.0,3.0,0.0,0.0,187.0 ,187.0,112.0,3.0,0.0,0.0,187.0 ,50.74,511.28,21.52,8.64,30.16,21.52,0,0,0,0,0,0,0
40,2.77,102.59,,2.77,102.59,,102.63,330.26,187.0,112.0,5.3,0.0,0.0,187.0 ,187.0,112.0,5.0,0.0,0.0,187.0 ,58.14,517.92,35.12,8.48,43.60,35.12,1.04,1.04,2.08,1.04,0,0,0
50,2.77,102.59,,2.77,102.59,,102.63,388.29,187.0,112.0,5.0,8.0,0.0,187.0 ,187.0,112.0,5.0,8.0,0.0,187.0 ,49.45,477.92,34.48,8.40,42.88,34.48,17.28,17.28,34.56,17.28,0,0,0
60,2.77,102.59,,2.77,102.59,,102.67,359.57,187.0,112.0,5.0,8.0,0.0,187.0 ,187.0,112.0,5.0,8.0,0.0,187.0 ,53.40,488.08,34.08,8.32,42.40,34.08,17.44,17.36,34.80,17.44,0,0,0
70,2.77,102.59,,2.77,102.59,,102.67,393.26,187.0,112.0,5.0,8.0,0.0,187.0 ,187.0,112.0,5.0,8.0,0.0,187.0 ,48.82,464.24,33.68,8.24,41.92,33.68,17.20,17.12,34.32,17.20,0,0,0
80,2.77,102.59,,2.77,102.59,,102.67,369.09,187.0,112.0,5.0,8.0,0.0,187.0 ,187.0,112.0,5.0,8.0,0.0,187.0 ,52.02,473.60,34.56,8.24,42.80,34.56,17.04,17.04,34.08,17.04,0,0,0
90,2.77,102.59,,2.77,102.59,,102.63,384.93,187.0,112.0,5.0,8.0,0.0,187.0 ,187.0,112.0,5.0,8.0,0.0,187.0 ,49.88,456.88,33.44,8.16,41.60,33.44,16.96,16.96,33.92,16.96,0,0,0
