N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,,,,,,,,,,39.95,,,,,,,,,,,,,240.29,144.7,110.4,44.0,0.0,0.0,338.40,13.84,352.24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,45.40,,,,,,,,,,,,,211.44,114.1,85.0,40.0,264.7,0.8,309.28,10.48,319.76,264.72,264.64,529.36,2.16,0,2.16,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,49.12,,,,,,,,,,,,,195.43,107.2,81.5,35.8,239.9,0.8,276.80,9.92,286.72,239.92,239.84,479.76,2.16,0,2.16,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,33.67,,,,,,,,,,,,,285.11,152.8,80.2,76.4,218.6,16.3,590.08,21.04,611.12,218.64,218.56,437.20,42.64,1.76,44.40,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,41.23,,,,,,,,,,,,,232.83,104.4,79.4,33.9,213.7,47.5,261.52,9.28,270.80,213.68,213.60,427.28,123.36,6.08,129.44,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,35.97,,,,,,,,,,,,,266.88,108.6,79.0,33.5,238.9,60.7,259.04,9.28,268.32,238.96,238.96,477.92,157.28,8.16,165.44,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,34.26,,,,,,,,,,,,,280.25,109.8,78.7,35.6,240.5,67.5,275.68,9.44,285.12,240.56,240.48,481.04,175.52,8.48,184.00,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,22.12,,,,,,,,,,,,,433.95,211.3,78.4,90.1,237.8,72.0,698.56,22.64,721.20,237.84,237.76,475.60,188.00,8.08,196.08,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,32.02,,,,,,,,,,,,,299.83,125.7,78.3,36.8,234.7,77.0,285.52,9.20,294.72,234.72,234.72,469.44,201.36,8.40,209.76,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,32.13,,,,,,,,,,,,,298.83,116.6,78.1,37.3,232.2,80.3,289.60,9.12,298.72,232.24,232.16,464.40,210.40,8.16,218.56,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,31.39,,,,,,,,,,,,,305.82,113.8,78.0,36.8,230.7,82.0,285.52,8.96,294.48,230.72,230.64,461.36,215.04,8.32,223.36,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,29.17,,,,,,,,,,,,,329.12,129.0,80.3,56.4,229.4,71.9,438.24,13.28,451.52,229.44,229.36,458.80,187.60,8.16,195.76,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,29.82,,,,,,,,,,,,,321.95,104.2,80.0,36.5,231.4,81.1,282.00,9.84,291.84,231.44,231.36,462.80,212.56,8.24,220.80,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,30.07,,,,,,,,,,,,,319.22,105.6,79.8,36.9,227.3,81.3,285.28,9.60,294.88,227.36,227.28,454.64,213.20,8.16,221.36,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,30.18,,,,,,,,,,,,,318.08,106.3,79.6,36.6,226.6,81.1,283.60,9.60,293.20,226.64,226.56,453.20,212.72,8.24,220.96,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,25.18,,,,,,,,,,,,,381.25,165.5,79.4,62.4,229.2,81.1,484.24,15.20,499.44,229.20,229.12,458.32,212.80,8.16,220.96,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,30.63,,,,,,,,,,,,,313.47,102.9,79.3,37.0,225.3,80.2,286.64,9.44,296.08,225.36,225.28,450.64,210.32,8.24,218.56,,,,,,,,,,,,,,,,,,
