,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.68,821.53,CPU bound,10.68,821.53,,820.51,263.99,23.4,14.0,0.0,0.0,0.0,23.4 ,23.4,14.0,0.0,0.0,0.0,23.4 ,72.73,37.1,50.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10.68,821.53,CPU bound,10.68,821.53,,820.17,614.87,23.4,14.0,4.3,0.0,0.0,23.4 ,23.4,14.0,3.0,0.0,0.0,23.4 ,31.23,14.7,19.3,4.5,0.0,0.0,25.76,10.00,35.76,0,0,0,0,0,0,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,7.91,608.46,0.20,9.03,694.61,0.23,820.17,527.99,23.4,14.0,8.0,0.0,0.0,23.4 ,23.4,14.0,7.0,0.0,0.0,23.4 ,36.36,18.6,21.3,7.4,0.0,0.0,49.84,9.28,59.12,0,0,0,0,0,0,54.62,9.25,63.87,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
40,8.00,615.38,0.21,9.03,694.61,0.23,820.17,575.37,23.4,14.0,7.9,0.0,0.0,23.4 ,23.4,14.0,7.0,0.0,0.0,23.4 ,33.37,14.7,15.7,8.0,4.8,0.0,54.80,8.96,63.76,4.88,4.88,9.76,0,0,0,54.25,8.87,63.12,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
50,8.01,616.15,0.34,9.03,694.61,0.23,661.79,576.12,23.4,14.0,7.7,9.5,0.0,31.2 ,23.4,14.0,7.0,8.0,0.0,29.0 ,33.33,16.8,17.7,7.7,19.1,0.0,53.20,8.72,61.92,19.12,19.12,38.24,0,0,0,53.00,8.75,61.75,18.87,18.87,37.74,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,8.06,620.00,0.35,9.03,694.61,0.23,662.06,575.57,23.4,14.0,7.6,9.4,0.0,31.0 ,23.4,14.0,7.0,8.0,0.0,29.0 ,33.36,15.1,14.7,7.6,18.7,0.0,52.40,8.64,61.04,18.64,18.64,37.28,0,0,0,52.00,8.62,60.62,18.87,18.87,37.74,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,8.00,615.38,0.34,9.03,694.61,0.23,662.06,619.82,23.4,14.0,7.5,9.5,0.0,31.0 ,23.4,14.0,7.0,8.0,0.0,29.0 ,30.98,16.1,16.3,7.5,18.2,0.0,51.52,8.48,60.00,18.24,18.24,36.48,.08,0,.08,51.50,8.50,60.00,19.00,19.00,38.00,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,7.88,606.15,0.34,9.03,694.61,0.23,661.79,574.62,23.4,14.0,7.4,9.6,0.0,31.0 ,23.4,14.0,7.0,8.0,0.0,29.0 ,33.41,14.9,14.3,7.5,17.9,0.0,51.68,8.48,60.16,17.92,17.92,35.84,.08,0,.08,51.00,8.37,59.37,19.25,19.25,38.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
