N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,3.47,86.75,CPU bound,3.47,86.75,,86.75,78.32,212.0,0.0,44.0,0.0,0.0,212.0 ,212.0,0.0,32.0,0.0,0.0,212.0 ,234.93,,,,,,,,,,,175.87,10.87,186.74,0,0,0,0,0,0,128.00,8.00,136.00,0,0,0,0,0,0
20,3.47,86.75,CPU bound,3.47,86.75,,86.75,80.30,212.0,0.0,41.4,36.2,0.0,212.0 ,212.0,0.0,36.0,32.0,0.0,212.0 ,229.13,,,,,,,,,,,165.62,9.12,174.74,144.62,144.62,289.24,0,0,0,144.00,8.00,152.00,128.00,8.00,136.00,0,0,0
30,3.47,86.75,CPU bound,3.47,86.75,,86.75,77.09,212.0,0.0,39.3,34.9,0.0,212.0 ,212.0,0.0,36.0,32.0,0.0,212.0 ,238.70,,,,,,,,,,,157.25,8.62,165.87,139.62,139.62,279.24,0,0,0,144.00,8.00,152.00,128.00,8.00,136.00,0,0,0
40,1.64,41.00,CPU bound,3.47,86.75,,85.58,25.35,212.0,0.0,262.6,33.9,48.6,345.1 ,212.0,0.0,36.0,32.0,0.0,212.0 ,725.74,,,,,,,,,,,1050.50,64.00,1114.50,62.37,135.62,197.99,73.25,7.50,80.75,144.00,8.00,152.00,128.00,8.00,136.00,0,0,0
50,3.47,86.75,CPU bound,3.47,86.75,,86.75,74.77,212.0,0.0,37.9,33.6,86.0,212.0 ,212.0,0.0,36.0,32.0,81.8,212.0 ,246.08,,,,,,,,,,,151.50,8.37,159.87,0,134.50,134.50,134.50,8.37,142.87,144.00,8.00,152.00,128.00,8.00,136.00,128.00,8.00,136.00
60,3.47,86.75,CPU bound,3.47,86.75,,86.75,75.15,212.0,0.0,37.5,33.2,85.0,212.0 ,212.0,0.0,36.0,32.0,81.8,212.0 ,244.86,,,,,,,,,,,150.12,8.25,158.37,0,133.00,133.00,133.00,8.25,141.25,144.00,8.00,152.00,128.00,8.00,136.00,128.00,8.00,136.00
70,3.47,86.75,CPU bound,3.47,86.75,,86.75,75.69,212.0,0.0,37.3,37.3,84.5,212.0 ,212.0,0.0,36.0,36.0,81.8,212.0 ,243.09,,,,,,,,,,,149.12,8.25,157.37,17.00,149.12,166.12,132.25,8.25,140.50,144.00,8.00,152.00,144.00,8.00,152.00,128.00,8.00,136.00
80,1.65,41.25,CPU bound,3.47,86.75,,85.62,24.79,212.0,0.0,262.3,37.0,84.1,383.4 ,212.0,0.0,36.0,36.0,81.8,212.0 ,742.27,,,,,,,,,,,1049.25,64.00,1113.25,16.37,147.87,164.24,131.50,8.25,139.75,144.00,8.00,152.00,144.00,8.00,152.00,128.00,8.00,136.00
90,3.47,86.75,CPU bound,3.47,86.75,,86.75,76.12,212.0,0.0,37.0,37.0,83.9,212.0 ,212.0,0.0,36.0,36.0,81.8,212.0 ,241.71,,,,,,,,,,,148.00,8.25,156.25,16.75,148.00,164.75,131.25,8.12,139.37,144.00,8.00,152.00,144.00,8.00,152.00,128.00,8.00,136.00
100,3.47,86.75,CPU bound,3.47,86.75,,86.75,77.12,212.0,0.0,36.9,36.9,83.7,212.0 ,212.0,0.0,36.0,36.0,81.8,212.0 ,238.58,,,,,,,,,,,147.62,8.12,155.74,16.62,147.62,164.24,130.87,8.12,138.99,144.00,8.00,152.00,144.00,8.00,152.00,128.00,8.00,136.00
