N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,4.18,139.33,CPU bound,4.18,139.33,,139.33,124.04,132.0,0.0,11.8,0.0,0.0,132.0 ,132.0,0.0,12.0,0.0,0.0,132.0 ,148.34,,,,,,,,,,,47.12,9.62,56.74,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,4.18,139.33,CPU bound,4.18,139.33,,139.33,130.51,132.0,0.0,14.1,0.0,0.0,132.0 ,132.0,0.0,12.0,0.0,0.0,132.0 ,140.98,,,,,,,,,,,56.25,9.12,65.37,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
30,4.18,139.33,CPU bound,4.18,139.33,,139.33,118.54,132.0,0.0,17.7,13.3,0.0,132.0 ,132.0,0.0,16.0,12.0,0.0,132.0 ,155.22,,,,,,,,,,,70.75,8.62,79.37,53.00,53.00,106.00,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,4.18,139.33,CPU bound,4.18,139.33,,139.33,124.12,132.0,0.0,17.2,12.9,0.0,132.0 ,132.0,0.0,16.0,12.0,0.0,132.0 ,148.25,,,,,,,,,,,68.62,8.37,76.99,51.37,51.37,102.74,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,4.18,139.33,CPU bound,4.18,139.33,,139.33,126.52,132.0,0.0,17.0,12.7,5.6,132.0 ,132.0,0.0,16.0,12.0,0.0,132.0 ,145.43,,,,,,,,,,,67.87,8.37,76.24,43.62,50.87,94.49,7.25,2.50,9.75,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
60,4.18,139.33,CPU bound,4.18,139.33,,139.33,126.02,132.0,0.0,16.8,12.7,34.9,132.0 ,132.0,0.0,16.0,12.0,33.7,132.0 ,146.01,,,,,,,,,,,67.12,8.25,75.37,.75,50.62,51.37,49.75,8.25,58.00,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
70,4.18,139.33,CPU bound,4.18,139.33,,139.33,126.92,132.0,0.0,16.7,12.6,35.6,132.0 ,132.0,0.0,16.0,12.0,33.7,132.0 ,144.97,,,,,,,,,,,66.62,8.25,74.87,0,50.50,50.50,50.50,8.62,59.12,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
80,2.90,96.66,CPU bound,4.18,139.33,,139.33,126.31,132.0,0.0,102.3,12.4,34.7,149.4 ,132.0,0.0,16.0,12.0,33.7,132.0 ,145.67,,,,,,,,,,,409.25,64.00,473.25,0,49.37,49.37,49.37,8.25,57.62,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
90,4.18,139.33,CPU bound,4.18,139.33,,139.33,126.89,132.0,0.0,16.5,12.3,34.6,132.0 ,132.0,0.0,16.0,12.0,33.7,132.0 ,145.01,,,,,,,,,,,66.00,8.25,74.25,0,49.37,49.37,49.37,8.25,57.62,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
100,4.18,139.33,CPU bound,4.18,139.33,,139.33,127.21,132.0,0.0,16.5,16.5,34.5,132.0 ,132.0,0.0,16.0,16.0,33.7,132.0 ,144.64,,,,,,,,,,,65.87,8.12,73.99,16.62,65.87,82.49,49.12,8.12,57.24,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
