N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.7,0,37.8770599607977,0.05,2.29,0,28.1241896963494,0.06,11.8,14.1,9.2,0,0,40.12,229.34,13.2,11,9.4,0,0,20.43,900.63,13.2,11,10.5,0,0,21.5,1022.22,63.92,9.92,73.84,0,0,0,0.08,0,0.08,65,10.37,75.37,0,0,0,0,0,0,48,8,56,0,0,0,0,0,0
20,1.6,0,40.1691383804855,0.04,1.78,0,36.1596724667349,0.05,12.7,13.6,10.1,17.3,0,44.69,205.88,13.2,11,10,15.8,0,36.79,500.13,13.2,11,13.5,17.92,0,42.42,541.17,71.92,8.96,80.88,60.4,8.96,69.36,0.08,0,0.08,71.12,8.87,79.99,54.25,8.87,63.12,0,0,0,64,8,72,48,8,56,0,0,0
30,1.65,0,38.9151658067209,0.05,1.78,0,36.1596724667349,0.05,10.7,11.1,10.1,16,0,45.28,203.17,13.2,11,9.7,15.2,0,35.91,512.39,13.2,11,13.5,17.92,0,42.42,541.17,72.16,8.72,80.88,55.36,8.56,63.92,0.08,0,0.08,68.87,8.62,77.49,52.25,8.62,60.87,0,0,0,64,8,72,48,8,56,0,0,0
40,1.69,0,38.0614102236965,0.05,1.78,0,36.1596724667349,0.05,11.4,11.7,9.9,17.4,0,45.85,200.65,13.2,11,9.5,14.8,0,35.32,520.95,13.2,11,13.5,17.92,0,42.42,541.17,70.8,8.56,79.36,61.28,8.4,69.68,0.08,0,0.08,67.37,8.37,75.74,51,8.37,59.37,0,0,0,64,8,72,48,8,56,0,0,0
50,1.38,0,46.7751676522532,0.05,1.44,0,44.8324873096447,0.05,10.6,10.6,9.9,18.5,0,46.72,196.9,13.2,11,9.4,18.8,0,39.17,469.74,13.2,11,13.5,23.04,0,47.54,484.21,70.48,8.4,78.88,65.76,8.32,74.08,0.08,0,0.08,66.75,8.37,75.12,66.75,8.37,75.12,0,0,0,64,8,72,64,8,72,0,0,0
60,1.39,0,46.3781122165821,0.05,1.44,0,44.8324873096447,0.05,11.1,11.1,9.8,18.9,3.2,53.62,171.59,13.2,11,9.3,18.6,0,38.93,472.64,13.2,11,13.5,23.04,0,47.54,484.21,69.84,8.4,78.24,67.12,8.32,75.44,4.8,0.72,5.52,66.25,8.25,74.5,66.25,8.25,74.5,0,0,0,64,8,72,64,8,72,0,0,0
70,0.75062,0,85.7952349553128,0.06,0.78672,0,81.8589870903674,0.06,10.8,10.4,9.6,18.7,20.3,76.78,119.82,13.2,11,9.3,18.5,33.9,72.67,253.19,13.2,11,13.5,23.04,46.3,93.84,261.73,68.8,8.32,77.12,66.48,8.24,74.72,29.36,5.84,35.2,65.87,8.25,74.12,65.87,8.25,74.12,50.25,8.5,58.75,64,8,72,64,8,72,48,8,56
80,0.76704,0,83.959254816286,0.06,0.78672,0,81.8589870903674,0.06,11.3,11.1,9.6,18.6,32.1,95.18,96.66,13.2,11,9.2,18.5,33.1,71.82,256.19,13.2,11,13.5,23.04,46.3,93.84,261.73,68.08,8.48,76.56,66.24,8.24,74.48,47.44,8.16,55.6,65.62,8.25,73.87,65.62,8.25,73.87,49.25,8.25,57.5,64,8,72,64,8,72,48,8,56
90,0.76884,0,83.7630652116518,0.06,0.78672,0,81.8589870903674,0.06,11.6,11.2,9.4,18.5,33.5,94.63,97.22,13.2,11,9.2,18.4,33.1,71.68,256.69,13.2,11,13.5,23.04,46.3,93.84,261.73,66.88,8.24,75.12,65.84,8.16,74,49.76,8.24,58,65.5,8.12,73.62,65.5,8.12,73.62,49.12,8.12,57.24,64,8,72,64,8,72,48,8,56
100,0.77093,0,83.5359269116187,0.06,0.78672,0,81.8589870903674,0.06,11.3,10.9,9.4,18.4,33.4,95.53,96.31,13.2,11,9.2,18.4,33,71.51,257.3,13.2,11,13.5,23.04,46.3,93.84,261.73,66.96,8.4,75.36,65.6,8.16,73.76,49.68,8.24,57.92,65.25,8.12,73.37,65.25,8.12,73.37,49,8.12,57.12,64,8,72,64,8,72,48,8,56
