,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,9.97,766.92,CPU bound,9.97,766.92,,765.66,294.62,24.0,14.0,0.0,0.0,0.0,24.0 ,24.0,14.0,0.0,0.0,0.0,24.0 ,62.45,48.3,45.3,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.97,766.92,CPU bound,9.97,766.92,,765.66,518.77,24.0,14.0,8.7,0.0,0.0,24.0 ,24.0,14.0,6.0,0.0,0.0,24.0 ,35.47,24.3,17.3,9.0,0.0,0.0,25.92,10.24,36.16,0,0,0,0,0,0,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,7.37,566.92,0.20,8.41,646.92,0.23,540.47,472.54,24.0,14.0,16.0,7.6,0.0,37.6 ,24.0,14.0,14.0,6.0,0.0,34.0 ,38.94,30.0,20.1,14.8,7.2,0.0,49.68,9.36,59.04,20.24,8.40,28.64,.08,0,.08,54.62,9.25,63.87,21.25,9.25,30.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
40,7.45,573.07,0.21,8.41,646.92,0.23,540.47,474.87,24.0,14.0,15.8,7.2,0.0,37.0 ,24.0,14.0,14.0,6.0,0.0,34.0 ,38.75,24.1,14.8,15.9,7.6,0.0,54.72,8.96,63.68,21.60,8.88,30.48,.08,0,.08,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,7.63,586.92,0.21,8.41,646.92,0.23,540.47,500.98,24.0,14.0,15.4,6.9,0.0,36.3 ,24.0,14.0,14.0,6.0,0.0,34.0 ,36.73,27.4,17.0,15.5,8.0,0.0,53.12,8.72,61.84,23.28,8.72,32.00,.08,0,.08,53.00,8.75,61.75,18.87,8.75,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,7.77,597.69,0.21,8.41,646.92,0.23,540.47,491.96,24.0,14.0,15.2,6.8,0.0,36.0 ,24.0,14.0,14.0,6.0,0.0,34.0 ,37.40,24.0,14.2,15.3,7.8,0.0,52.48,8.72,61.20,22.64,8.56,31.20,.08,0,.08,52.00,8.62,60.62,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,7.86,604.61,0.22,8.41,646.92,0.23,540.47,507.87,24.0,14.0,15.0,6.9,0.0,35.8 ,24.0,14.0,14.0,6.0,0.0,34.0 ,36.23,26.3,15.8,15.0,14.3,0.0,51.52,8.48,60.00,48.56,8.48,57.04,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,7.03,540.76,0.23,7.09,545.38,0.23,437.52,466.37,24.0,14.0,14.9,14.1,0.0,43.0 ,24.0,14.0,14.0,14.0,0.0,42.0 ,39.45,24.0,13.9,15.0,15.1,0.0,51.60,8.48,60.08,51.76,8.48,60.24,.08,0,.08,51.00,8.37,59.37,48.00,8.37,56.37,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
