N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
520,8,3.615105,L2 520 520 520 16 12 340,14288361984,1099104768,3.95,304.02,61.28,72.49,8.52,46.42,8.19,315375850.00,139035627.00,81.01,54.61,454411477.00
530,8,3.538533,L2 530 530 530 16 12 340,15135283904,1164252608,4.27,329.02,57.44,67.21,8.27,39.08,8.04,333131011.00,147213534.00,75.48,47.12,480344545.00
540,8,3.872196,L2 540 540 540 16 12 340,16015028224,1231925248,4.13,318.14,59.28,73.24,8.37,39.59,8.13,352980903.00,155767008.00,81.61,47.72,508747911.00
550,8,3.959079,L2 550 550 550 16 12 340,16928218944,1302170688,4.27,328.90,57.44,65.66,8.24,39.39,8.04,373237249.00,164606219.00,73.90,47.43,537843468.00
560,4,2.217369,L2 560 560 560 16 12 340,8937740032,687518464,4.02,310.05,61.28,66.98,8.42,45.75,8.17,196814716.00,86918778.00,75.40,53.92,283733494.00
570,4,2.158239,L2 570 570 570 16 12 340,9428717792,725285984,4.36,336.05,55.68,61.24,8.22,38.44,8.03,207696333.00,91653713.00,69.46,46.47,299350046.00
580,4,2.503448,L2 580 580 580 16 12 340,9937354752,764411904,3.96,305.34,61.28,70.69,8.44,49.30,8.11,218581140.00,96621005.00,79.13,57.41,315202145.00
590,4,2.467831,L2 590 590 590 16 12 340,10463962912,804920224,4.23,326.16,57.44,62.94,8.23,41.69,8.04,230252885.00,101704234.00,71.17,49.73,331957119.00
600,4,2.578027,L2 600 600 600 16 12 340,11008854272,846834944,4.26,328.47,57.44,61.27,8.31,39.84,8.16,242527718.00,106984981.00,69.58,48.00,349512699.00
610,4,2.626472,L2 610 610 610 16 12 340,11572340832,890180064,4.40,338.92,55.68,54.74,8.14,39.71,8.03,254319060.00,112435904.00,62.88,47.74,366754964.00
620,4,2.889830,L2 620 620 620 16 12 340,12154734592,934979584,4.20,323.53,57.44,54.61,8.23,43.57,8.11,267458655.00,118097170.00,62.84,51.68,385555825.00
630,4,2.881546,L2 630 630 630 16 12 340,12756347552,981257504,4.42,340.52,54.08,55.63,8.13,39.71,8.03,280862978.00,123916382.00,63.76,47.74,404779360.00
640,4,3.471529,L2 640 640 640 16 12 340,13377491712,1029037824,3.85,296.41,63.44,62.50,8.44,46.84,8.10,294988707.00,129993126.00,70.94,54.94,424981833.00
650,4,3.249468,L2 650 650 650 16 12 340,14018479072,1078344544,4.31,331.85,57.44,54.26,8.13,45.72,8.04,308402451.00,136155716.00,62.39,53.76,444558167.00
660,4,3.604145,L2 660 660 660 16 12 340,14679621632,1129201664,4.07,313.30,59.28,59.02,8.24,51.79,8.11,322520245.00,142595983.00,67.26,59.90,465116228.00
670,4,3.504273,L2 670 670 670 16 12 340,15361231392,1181633184,4.38,337.19,55.68,58.90,8.22,41.12,8.03,337465835.00,149160442.00,67.12,49.15,486626277.00
680,4,3.755385,L2 680 680 680 16 12 340,16063620352,1235663104,4.27,329.03,57.44,54.80,8.32,45.32,8.14,353372698.00,155981817.00,63.12,53.46,509354515.00
690,4,3.864216,L2 690 690 690 16 12 340,16787100512,1291315424,4.34,334.17,55.68,57.61,8.29,41.06,8.09,368498851.00,162980192.00,65.90,49.15,531479043.00
700,2,2.068255,L2 700 700 700 16 12 340,8765991936,674307072,4.23,326.02,57.44,58.81,8.47,42.92,8.17,192652622.00,85108138.00,67.28,51.09,277760760.00
710,2,2.083612,L2 710 710 710 16 12 340,9149291216,703791632,4.38,337.77,55.68,53.25,8.21,41.11,8.10,201144004.00,88812036.00,61.46,49.21,289956040.00
720,2,2.258142,L2 720 720 720 16 12 340,9543604096,734123392,4.22,325.09,57.44,58.01,8.45,42.24,8.21,209558395.00,92645530.00,66.46,50.45,302203925.00
730,2,2.277425,L2 730 730 730 16 12 340,9949086576,765314352,4.36,336.04,55.68,55.27,8.23,40.74,8.09,218540253.00,96562304.00,63.50,48.83,315102557.00
740,2,2.423947,L2 740 740 740 16 12 340,10365894656,797376512,4.27,328.95,57.44,56.81,8.41,41.98,8.16,227398784.00,100604823.00,65.22,50.14,328003607.00
750,2,2.485835,L2 750 750 750 16 12 340,10794184336,830321872,4.34,334.02,55.68,56.01,8.27,40.96,8.09,236945602.00,104750966.00,64.28,49.05,341696568.00
760,2,2.728429,L2 760 760 760 16 12 340,11234111616,864162432,4.11,316.72,59.28,57.53,8.50,45.48,8.20,246844596.00,109034451.00,66.03,53.68,355879047.00
770,2,2.886333,L2 770 770 770 16 12 340,11685832496,898910192,4.04,311.43,61.28,63.28,8.43,43.37,8.06,256313474.00,113410928.00,71.71,51.43,369724402.00
780,2,2.938567,L2 780 780 780 16 12 340,12149502976,934577152,4.13,318.03,59.28,62.58,8.32,44.87,8.17,266769735.00,117901461.00,70.90,53.04,384671196.00
790,2,2.987992,L2 790 790 790 16 12 340,12625279056,971175312,4.22,325.02,57.44,63.30,8.32,39.54,8.06,277313505.00,122495504.00,71.62,47.60,399809009.00
800,2,3.236380,L2 800 800 800 16 12 340,13113316736,1008716672,4.05,311.67,61.28,66.16,8.48,42.11,8.19,287806319.00,127244378.00,74.64,50.30,415050697.00
810,2,3.374143,L2 810 810 810 16 12 340,13613772016,1047213232,4.03,310.36,61.28,57.05,8.22,50.76,8.07,299013608.00,132097903.00,65.27,58.83,431111511.00
820,2,3.261613,L2 820 820 820 16 12 340,14126800896,1086676992,4.32,333.16,55.68,55.67,8.27,42.35,8.16,309855297.00,137032470.00,63.94,50.51,446887767.00
830,2,3.625597,L2 830 830 830 16 12 340,14652559376,1127119952,4.04,310.87,61.28,56.69,8.25,51.84,8.06,321725189.00,142156463.00,64.94,59.90,463881652.00
840,2,3.502436,L2 840 840 840 16 12 340,15191203456,1168554112,4.33,333.63,55.68,57.26,8.32,42.17,8.18,333581269.00,147336061.00,65.58,50.35,480917330.00
850,2,3.700948,L2 850 850 850 16 12 340,15742889136,1210991472,4.25,327.21,57.44,55.36,8.22,46.23,8.07,345233773.00,152689791.00,63.58,54.30,497923564.00
860,2,3.689212,L2 860 860 860 16 12 340,16307772416,1254444032,4.41,340.02,55.68,58.52,8.28,40.42,8.14,357764101.00,158134976.00,66.80,48.56,515899077.00
870,2,3.836819,L2 870 870 870 16 12 340,16886009296,1298923792,4.39,338.54,55.68,58.09,8.23,42.68,8.05,370667293.00,163737550.00,66.32,50.73,534404843.00
880,2,4.140512,L2 880 880 880 16 12 340,17477755776,1344442752,4.21,324.70,57.44,57.30,8.42,45.62,8.17,383531291.00,169497445.00,65.72,53.79,553028736.00
890,2,4.020699,L2 890 890 890 16 12 340,18083167856,1391012912,4.49,345.96,54.08,55.92,8.22,39.60,8.06,396680625.00,175317714.00,64.14,47.66,571998339.00
900,2,4.327166,L2 900 900 900 16 12 340,18702401536,1438646272,4.32,332.46,55.68,59.69,8.37,42.51,8.13,409842620.00,181330924.00,68.06,50.64,591173544.00
910,2,4.264584,L2 910 910 910 16 12 340,19335612816,1487354832,4.53,348.76,54.08,54.03,8.18,39.86,8.06,423884773.00,187437429.00,62.21,47.92,611322202.00
920,2,4.455023,L2 920 920 920 16 12 340,19982957696,1537150592,4.48,345.03,54.08,56.53,8.30,38.92,8.17,438526289.00,193705331.00,64.83,47.09,632231620.00
930,2,4.547869,L2 930 930 930 16 12 340,20644592176,1588045552,4.53,349.18,54.08,54.20,8.14,39.93,8.05,452309250.00,200101320.00,62.34,47.98,652410570.00
940,2,4.715345,L2 940 940 940 16 12 340,21320672256,1640051712,4.52,347.81,54.08,53.80,8.20,40.09,8.13,467476329.00,206649558.00,62.00,48.22,674125887.00
950,2,4.925491,L2 950 950 950 16 12 340,22011353936,1693181072,4.46,343.75,54.08,55.19,8.16,42.20,8.05,482928230.00,213343956.00,63.35,50.25,696272186.00
960,2,5.620842,L2 960 960 960 16 12 340,22716793216,1747445632,4.04,310.88,61.28,62.56,8.47,46.16,8.14,498254870.00,220248799.00,71.03,54.30,718503669.00
970,2,5.164872,L2 970 970 970 16 12 340,23437146096,1802857392,4.53,349.05,54.08,54.33,8.21,40.12,8.04,513888030.00,227131248.00,62.54,48.16,741019278.00
980,2,5.963290,L2 980 980 980 16 12 340,24172568576,1859428352,4.05,311.81,59.28,55.64,8.32,55.51,8.13,530040731.00,234347872.00,63.96,63.64,764388603.00
990,2,5.765813,L2 990 990 990 16 12 340,24923216656,1917170512,4.32,332.50,55.68,55.47,8.26,47.94,8.06,546503106.00,241561968.00,63.73,56.00,788065074.00
1000,2,5.833236,L2 1000 1000 1000 16 12 340,25689246336,1976095872,4.40,338.76,55.68,61.55,8.46,41.71,8.15,563611152.00,248947359.00,70.01,49.86,812558511.00
1010,2,5.956629,L2 1010 1010 1010 16 12 340,26470813616,2036216432,4.44,341.83,54.08,56.33,8.34,41.34,8.05,579941589.00,256507037.00,64.67,49.39,836448626.00
1020,2,7.367874,L2 1020 1020 1020 16 12 340,27268074496,2097544192,3.69,284.68,65.68,65.19,8.55,62.90,8.11,600742056.00,264404741.00,73.74,71.01,865146797.00
1030,2,7.442247,L2 1030 1030 1030 16 12 340,28081184976,2160091152,3.77,290.24,63.44,76.49,8.48,59.78,8.05,616504571.00,272255165.00,84.97,67.83,888759736.00
1040,2,7.159839,L2 1040 1040 1040 16 12 340,28910301056,2223869312,4.03,310.60,59.28,75.58,8.57,46.74,8.18,634023434.00,280208921.00,84.15,54.92,914232355.00
