N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,14.56,364.00,,14.56,364.00,,364.17,267.08,52.7,28.0,0.0,0.0,0.0,52.7 ,52.7,28.0,0.0,0.0,0.0,52.7 ,71.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,14.56,364.00,,14.56,364.00,,364.17,271.48,52.7,28.0,3.6,0.0,0.0,52.7 ,52.7,28.0,3.0,0.0,0.0,52.7 ,70.72,20.16,9.04,29.20,0,0,0,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,14.56,364.00,,14.56,364.00,,364.17,366.74,52.7,28.0,3.4,0.0,0.0,52.7 ,52.7,28.0,3.0,0.0,0.0,52.7 ,52.35,21.36,8.72,30.08,0,0,0,0,0,0,18.50,8.62,27.12,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,14.56,364.00,,14.56,364.00,,364.32,336.23,52.7,28.0,5.4,0.0,0.0,52.7 ,52.7,28.0,5.0,0.0,0.0,52.7 ,57.10,35.20,8.48,43.68,7.44,7.44,14.88,0,0,0,35.00,8.37,43.37,0,0,0,0,0,0,32.00,8.00,40.00,0,0,0,0,0,0
50,14.56,364.00,,14.56,364.00,,364.17,364.71,52.7,28.0,5.3,8.7,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,52.65,34.56,8.40,42.96,17.28,17.28,34.56,0,0,0,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,14.56,364.00,,14.56,364.00,,364.17,346.94,52.7,28.0,5.3,8.7,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,55.34,34.00,8.32,42.32,17.44,17.36,34.80,0,0,0,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,14.56,364.00,,14.56,364.00,,364.17,400.51,52.7,28.0,5.2,8.8,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,47.94,33.76,8.24,42.00,17.20,17.12,34.32,0,0,0,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,14.56,364.00,,14.56,364.00,,364.17,372.77,52.7,28.0,5.2,8.8,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,51.51,34.48,8.24,42.72,17.04,17.04,34.08,0,0,0,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,14.56,364.00,,14.56,364.00,,364.17,373.26,52.7,28.0,5.2,8.9,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,51.44,33.44,8.24,41.68,16.96,16.96,33.92,0,0,0,33.25,8.25,41.50,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,14.56,364.00,,14.56,364.00,,364.17,362.05,52.7,28.0,5.2,9.1,0.0,52.7 ,52.7,28.0,5.0,8.0,0.0,52.7 ,53.03,33.28,8.16,41.44,16.88,16.80,33.68,.16,.08,.24,33.12,8.12,41.24,18.12,8.12,26.24,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
