N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.37,124.73,0.0,CPU bound,2.37,124.73,15.244012944983819,,498.80,108.16,73.7,56.0,0.0,0.0,0.0,73.68,73.7,56.0,4.0,0.0,0.0,73.68,85.06,38.2,42.4,0.1,0.0,0.1,.48,0,.48,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,24.00,8.00,32.00,0,0,0,0,0,0
20,2.37,124.73,58.8213749697952,CPU bound,2.37,124.73,40.17741385192767,,496.64,124.85,73.7,56.0,14.6,5.3,0.0,75.97,73.7,56.0,10.0,8.0,0.0,74.00,73.69,36.5,30.1,12.5,5.7,0.1,88.56,11.60,100.16,18.16,4.80,22.96,.08,0,.08,105.75,11.37,117.12,15.87,5.50,21.37,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
30,2.37,124.73,48.39200566076152,CPU bound,2.37,124.73,40.17741385192767,,496.64,109.99,73.7,56.0,12.0,10.7,0.0,78.71,73.7,56.0,10.0,8.0,0.0,74.00,83.65,36.2,28.3,12.7,12.2,0.1,92.08,9.52,101.60,39.36,9.36,48.72,.08,0,.08,87.00,9.37,96.37,33.37,9.37,42.74,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
40,2.37,124.73,48.09226828699878,CPU bound,2.37,124.73,40.17741385192767,,496.64,133.35,73.7,56.0,12.0,10.2,0.0,78.21,73.7,56.0,10.0,8.0,0.0,74.00,68.99,38.4,30.6,11.8,14.3,0.1,85.84,8.56,94.40,48.80,8.48,57.28,.08,0,.08,86.37,9.37,95.74,31.50,9.37,40.87,0,0,0,72.00,8.00,80.00,24.00,8.00,32.00,0,0,0
50,2.37,124.73,51.50424112356492,CPU bound,2.37,124.73,49.813874788494076,,427.34,134.66,73.7,56.0,11.1,20.7,0.0,87.78,73.7,56.0,10.0,20.0,0.0,86.00,68.32,37.9,29.5,11.5,20.7,0.1,82.96,8.72,91.68,74.00,8.72,82.72,.08,0,.08,80.12,8.75,88.87,74.00,8.75,82.75,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
60,2.37,124.73,55.99052028417894,CPU bound,2.37,124.73,49.813874788494076,,427.34,137.06,73.7,56.0,11.2,22.5,0.0,89.72,73.7,56.0,10.0,20.0,0.0,86.00,67.12,37.6,28.9,11.2,22.7,0.1,81.04,8.40,89.44,82.40,8.32,90.72,.08,0,.08,81.00,8.87,89.87,81.00,8.87,89.87,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
70,2.37,124.73,53.59713895093063,CPU bound,2.37,124.73,49.813874788494076,,427.34,139.07,73.7,56.0,10.8,21.5,0.0,88.28,73.7,56.0,10.0,20.0,0.0,86.00,66.15,37.3,28.4,11.1,22.4,0.1,80.24,8.56,88.80,80.88,8.48,89.36,.16,0,.16,77.62,8.50,86.12,77.62,8.50,86.12,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
80,1.17,61.57,149.34741623525747,CPU bound,2.37,124.73,49.813874788494076,,350.55,127.18,73.7,56.0,37.2,21.8,2.1,117.08,73.7,56.0,10.0,20.0,18.8,104.84,72.34,37.4,28.1,11.9,21.9,3.3,86.72,8.80,95.52,79.28,8.24,87.52,4.48,1.28,5.76,265.37,32.00,297.37,78.62,8.62,87.24,2.37,1.12,3.49,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
90,2.37,124.73,53.19086622516556,CPU bound,2.37,124.73,49.813874788494076,,350.55,105.22,73.7,56.0,10.6,21.2,23.1,110.87,73.7,56.0,10.0,20.0,18.8,104.84,87.44,37.3,27.8,11.2,21.7,13.7,80.88,8.56,89.44,78.56,8.40,86.96,17.12,6.16,23.28,76.25,8.37,84.62,76.25,8.37,84.62,29.37,9.87,39.24,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
100,2.37,124.73,53.31319986463622,CPU bound,2.37,124.73,49.813874788494076,,350.55,110.26,73.7,56.0,10.7,21.4,19.9,108.05,73.7,56.0,10.0,20.0,18.8,104.84,83.44,37.2,27.6,13.0,21.4,19.4,94.96,8.72,103.68,77.52,8.16,85.68,25.44,8.16,33.60,77.12,8.50,85.62,77.12,8.50,85.62,26.00,8.50,34.50,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
110,2.37,124.73,52.11711516802249,CPU bound,2.37,124.73,49.813874788494076,,350.55,110.20,73.7,56.0,10.5,20.9,19.5,106.90,73.7,56.0,10.0,20.0,18.8,104.84,83.48,37.1,27.5,11.7,21.3,20.2,85.20,8.56,93.76,77.04,8.24,85.28,26.64,8.32,34.96,75.37,8.25,83.62,75.37,8.25,83.62,25.50,8.25,33.75,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
120,2.37,124.73,52.71543336717428,CPU bound,2.37,124.73,49.813874788494076,,350.55,111.88,73.7,56.0,10.6,21.2,19.7,107.40,73.7,56.0,10.0,20.0,18.8,104.84,82.23,37.0,27.4,11.8,21.2,20.0,85.84,8.56,94.40,76.48,8.08,84.56,26.40,8.16,34.56,76.25,8.37,84.62,76.25,8.50,84.75,25.62,8.37,33.99,72.00,8.00,80.00,72.00,8.00,80.00,24.00,8.00,32.00
