,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,31.74,3967.5,,4571.42857142857,817.13,,,,,,,4.2,3.5,0,0,0,4.2,23.5,171.36,0,0,0,0,0,0,0,0,0,0,0
20,11.27,1408.75,0.25,13.14,1642.5,0.29,2953.84615384615,823.6,4.2,3.5,3.5,0,0,7,4.2,3.5,3,0,0,6.5,23.31,158.56,9.12,20.08,29.2,20.08,0,0,0,0,0,0,0
30,13.49,1686.25,0.35,13.14,1642.5,0.29,2953.84615384615,892.97,4.2,3.5,2.5,0,0,6,4.2,3.5,3,0,0,6.5,21.5,141.44,8.64,20.88,29.52,20.88,0,0,0,0,0,0,0
40,6.75,843.75,0.17,6.75,843.75,0.17,2258.82352941176,1008.49,4.2,3.5,5,0,0,8.5,4.2,3.5,5,0,0,8.5,19.04,121.68,8.48,34.32,42.8,34.32,4.56,5.76,10.32,5.76,0,0,0
50,6.16,770,0.22,6.75,843.75,0.17,1163.63636363636,906.22,4.2,3.5,5,8,0,16.5,4.2,3.5,5,8,0,16.5,21.19,105.6,8.4,33.84,42.24,33.84,17.68,17.12,34.8,17.12,0,0,0
60,6.16,770,0.22,6.75,843.75,0.17,1163.63636363636,1084.74,4.2,3.5,5,8,0,16.5,4.2,3.5,5,8,0,16.5,17.7,95.12,8.24,33.52,41.76,33.52,17.36,17.36,34.72,17.36,0,0,0
70,6.16,770,0.22,6.75,843.75,0.17,1163.63636363636,1053.06,4.2,3.5,5,8,0,16.5,4.2,3.5,5,8,0,16.5,18.23,90.96,8.24,33.28,41.52,33.28,17.12,17.2,34.32,17.2,0,0,0
80,6.16,770,0.22,6.75,843.75,0.17,1163.63636363636,1220.43,4.2,3.5,5,8,0,16.5,4.2,3.5,5,8,0,16.5,15.73,87.92,8.24,33.2,41.44,33.2,17.04,17.12,34.16,17.12,0,0,0
90,6.16,770,0.22,6.75,843.75,0.17,1163.63636363636,1029.91,4.2,3.5,5,8,0,16.5,4.2,3.5,5,8,0,16.5,18.64,82.96,8.16,33.12,41.28,33.12,16.88,16.96,33.84,16.88,0,0,0
