,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,5.87,110.75,0.16,8.00,150.94,0.22,131.06,66.51,80.9,80.2,81.8,0.0,0.0,162.0 ,80.9,80.2,60.0,0.0,0.0,140.2 ,276.64,75.7,112.4,85.2,41.5,0.2,329.44,11.12,340.56,166.16,0,166.16,.32,.16,.48,316.62,10.50,327.12,0,0,0,0,0,0,232.00,8.00,240.00,0,0,0,0,0,0
20,5.91,111.50,0.19,6.75,127.35,0.22,89.99,66.50,80.9,80.2,73.2,68.5,0.0,221.9 ,80.9,80.2,64.0,60.0,0.0,204.2 ,276.71,81.7,131.6,74.8,74.9,0.3,289.60,9.60,299.20,290.32,9.28,299.60,.32,.16,.48,283.62,9.12,292.74,264.87,9.12,273.99,0,0,0,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
30,6.21,117.16,0.20,6.75,127.35,0.22,89.99,86.28,80.9,80.2,69.6,65.2,0.0,215.0 ,80.9,80.2,64.0,60.0,0.0,204.2 ,213.25,52.0,91.6,71.5,70.7,0.2,276.96,9.12,286.08,274.16,8.80,282.96,.24,.08,.32,269.75,8.62,278.37,252.00,8.62,260.62,0,0,0,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
40,0.99,18.67,0.03,6.33,119.43,0.21,88.26,41.49,80.9,80.2,486.6,67.3,0.0,634.1 ,80.9,80.2,64.0,64.0,0.0,208.2 ,443.43,63.1,106.4,217.7,71.8,0.7,845.44,25.52,870.96,278.40,8.80,287.20,1.04,.24,1.28,1882.50,64.00,1946.50,260.62,8.37,268.99,0,0,0,248.00,8.00,256.00,248.00,8.00,256.00,0,0,0
50,2.83,53.39,0.21,2.97,56.03,0.22,53.09,36.84,80.9,80.2,67.1,67.1,144.6,359.0 ,80.9,80.2,64.0,64.0,137.9,346.1 ,499.39,47.4,88.4,70.3,68.0,85.6,272.16,9.12,281.28,263.28,8.48,271.76,145.28,3.68,148.96,260.12,8.37,268.49,260.12,8.37,268.49,243.12,8.37,251.49,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
60,2.86,53.96,0.21,2.97,56.03,0.22,53.09,31.21,80.9,80.2,66.6,66.6,143.5,356.8 ,80.9,80.2,64.0,64.0,137.9,346.1 ,589.49,54.9,98.7,74.1,67.2,142.8,286.00,10.24,296.24,260.40,8.40,268.80,240.08,8.40,248.48,257.87,8.25,266.12,257.87,8.25,266.12,241.37,8.25,249.62,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
70,2.88,54.33,0.21,2.97,56.03,0.22,53.09,26.92,80.9,80.2,66.2,66.2,142.4,354.9 ,80.9,80.2,64.0,64.0,137.9,346.1 ,683.45,45.5,87.1,68.9,66.6,144.2,266.80,8.80,275.60,258.00,8.40,266.40,242.24,8.64,250.88,256.37,8.25,264.62,256.37,8.25,264.62,239.37,8.25,247.62,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
80,,,,2.97,56.03,0.22,53.09,28.32,80.9,80.2,500.3,500.1,141.6,1222.2 ,80.9,80.2,64.0,64.0,137.9,346.1 ,649.63,53.0,94.9,199.2,67.4,145.3,773.20,23.52,796.72,261.12,8.32,269.44,244.32,8.56,252.88,1937.00,64.00,2001.00,1936.62,64.00,2000.62,238.12,8.25,246.37,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
