,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,4.04,161.60,0.11,7.19,287.60,0.20,261.99,100.47,39.2,38.2,56.9,0.0,0.0,95.1 ,39.2,38.2,32.0,0.0,0.0,70.2 ,183.13,50.9,118.6,55.6,0.0,0.1,208.72,13.68,222.40,0,0,0,0,0,0,213.75,13.87,227.62,0,0,0,0,0,0,120.00,8.00,128.00,0,0,0,0,0,0
20,4.52,180.80,0.15,5.75,230.00,0.16,166.96,145.09,39.2,38.2,50.6,41.2,0.0,130.0 ,39.2,38.2,40.0,32.0,0.0,110.2 ,126.81,20.3,46.9,52.7,49.4,0.0,200.32,10.24,210.56,187.60,10.00,197.60,0,0,0,192.37,10.00,202.37,154.75,10.00,164.75,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
30,4.92,196.80,0.13,5.75,230.00,0.16,166.96,154.04,39.2,38.2,46.7,37.8,0.0,122.7 ,39.2,38.2,40.0,32.0,0.0,110.2 ,119.45,23.6,56.0,46.8,42.6,0.0,177.84,9.36,187.20,161.36,9.20,170.56,0,0,0,177.50,9.25,186.75,141.87,9.25,151.12,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
40,,,,5.75,230.00,0.16,166.96,113.51,39.2,38.2,267.3,36.1,0.0,341.6 ,39.2,38.2,40.0,32.0,0.0,110.2 ,162.10,18.3,41.9,77.5,43.7,0.0,297.76,12.16,309.92,166.00,8.88,174.88,0,0,0,1005.37,64.00,1069.37,135.37,8.87,144.24,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
50,4.35,174.00,0.15,4.65,186.00,0.16,155.66,156.05,39.2,38.2,43.7,42.8,0.0,124.7 ,39.2,38.2,40.0,40.0,0.0,118.2 ,117.91,20.8,48.1,44.4,44.8,3.3,168.72,8.80,177.52,170.64,8.72,179.36,5.04,.08,5.12,166.25,8.75,175.00,162.50,8.75,171.25,0,0,0,152.00,8.00,160.00,152.00,8.00,160.00,0,0,0
60,2.87,114.80,0.18,3.12,124.80,0.20,91.13,98.16,39.2,38.2,43.0,43.0,90.8,215.1 ,39.2,38.2,40.0,40.0,83.7,201.9 ,187.45,17.7,40.5,44.0,43.8,54.5,167.44,8.72,176.16,166.72,8.64,175.36,78.48,4.88,83.36,163.50,8.62,172.12,163.50,8.62,172.12,130.25,8.62,138.87,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
70,2.88,115.20,0.18,3.12,124.80,0.20,91.13,88.68,39.2,38.2,42.6,42.6,90.7,214.1 ,39.2,38.2,40.0,40.0,83.7,201.9 ,207.49,19.7,45.1,43.3,43.0,88.9,164.72,8.56,173.28,163.76,8.48,172.24,127.44,8.40,135.84,161.87,8.50,170.37,161.87,8.50,170.37,129.37,9.25,138.62,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
80,,,,3.12,124.80,0.20,91.09,74.21,39.2,38.2,294.4,266.4,88.4,687.5 ,39.2,38.2,40.0,40.0,83.7,201.9 ,247.93,17.6,39.8,76.6,42.9,91.2,295.04,11.36,306.40,163.12,8.48,171.60,130.80,8.48,139.28,1113.75,64.00,1177.75,1001.62,64.00,1065.62,126.75,8.37,135.12,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
