,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,190.85,44.1,44.0,10.3,10.3,14.4,79.0 ,44.1,44.0,10.0,10.0,14.1,78.1 ,96.41,,43.0,46.9,10.3,10.2,8.9,,33.12,8.16,41.28,32.80,8.16,40.96,9.44,5.68,15.12,33.00,8.12,41.12,33.00,8.12,41.12,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,168.58,44.1,44.0,10.3,10.3,14.4,78.9 ,44.1,44.0,10.0,10.0,14.1,78.1 ,109.15,,40.1,44.3,10.3,10.3,13.2,,33.20,8.16,41.36,32.96,8.08,41.04,14.72,7.76,22.48,32.87,8.12,40.99,32.87,8.12,40.99,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,172.19,44.1,44.0,10.2,10.2,14.4,78.8 ,44.1,44.0,10.0,10.0,14.1,78.1 ,106.86,,42.8,46.3,10.3,10.3,14.4,,33.04,8.16,41.20,32.96,8.08,41.04,16.40,8.16,24.56,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.74,44.1,44.0,10.2,10.2,14.2,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.12,,41.1,44.1,10.5,10.2,14.6,,33.84,8.08,41.92,32.88,8.08,40.96,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.00,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,185.31,44.1,44.0,10.2,10.2,14.3,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,99.29,,42.2,45.9,10.8,10.3,14.6,,35.20,8.16,43.36,32.96,8.08,41.04,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.87,44.1,44.0,10.2,10.2,14.3,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.15,,40.9,44.0,10.2,10.2,14.5,,32.88,8.08,40.96,32.80,8.08,40.88,16.64,8.16,24.80,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,196.60,44.1,44.0,10.2,10.2,14.3,78.6 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.59,,42.3,45.6,10.2,10.2,14.5,,32.88,8.08,40.96,32.80,8.08,40.88,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.47,44.1,44.0,10.2,10.2,14.3,78.7 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.88,,41.0,43.9,10.2,10.2,14.5,,32.80,8.08,40.88,32.80,8.08,40.88,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,195.98,44.1,44.0,10.2,10.2,14.3,78.6 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.89,,42.1,45.3,10.5,10.2,14.5,,34.00,8.16,42.16,32.72,8.08,40.80,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.38,44.1,44.0,10.1,10.1,14.1,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.92,,40.8,43.8,10.3,10.2,14.5,,32.96,8.08,41.04,32.64,8.08,40.72,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.25,7.87,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,197.17,44.1,44.0,10.1,10.1,14.3,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.32,,42.0,45.1,10.7,10.2,14.5,,34.32,8.48,42.80,32.64,8.08,40.72,16.48,8.16,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.43,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.90,,41.1,43.7,10.7,10.2,14.4,,34.72,8.08,42.80,32.56,8.08,40.64,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,189.08,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,97.31,,41.9,44.9,10.6,10.2,14.4,,34.00,8.32,42.32,32.56,8.08,40.64,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,203.04,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.62,,40.9,43.6,10.5,10.2,14.4,,33.92,8.08,42.00,32.56,8.08,40.64,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.21,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.37,,41.9,44.8,10.5,10.2,14.4,,34.08,8.08,42.16,32.64,8.08,40.72,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.69,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.78,,41.1,43.6,11.9,10.2,14.4,,39.52,8.08,47.60,32.56,8.08,40.64,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,197.46,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.18,,41.7,44.6,10.8,10.2,14.4,,35.20,8.08,43.28,32.56,8.08,40.64,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.45,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.89,,40.8,43.6,12.7,10.1,14.4,,42.56,8.08,50.64,32.48,8.08,40.56,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.81,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.55,,41.8,44.5,11.8,10.2,14.4,,39.12,8.08,47.20,32.56,8.08,40.64,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.39,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.37,,41.1,43.5,11.7,10.1,14.4,,38.80,8.16,46.96,32.48,8.08,40.56,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,189.01,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,97.35,,41.2,44.4,11.3,10.1,14.5,,36.96,8.16,45.12,32.56,8.08,40.64,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.16,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.47,,40.8,43.5,11.7,10.1,14.5,,38.48,8.24,46.72,32.48,8.08,40.56,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.51,44.1,44.0,10.1,10.1,14.3,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.69,,41.6,44.4,12.4,10.1,14.5,,41.60,8.16,49.76,32.56,8.00,40.56,16.64,8.08,24.72,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.97,44.1,44.0,10.1,10.1,14.2,78.3 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.10,,41.1,43.5,12.5,10.1,14.5,,41.76,8.16,49.92,32.40,8.00,40.40,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,197.38,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.22,,41.5,44.3,12.8,10.1,14.5,,42.96,8.32,51.28,32.40,8.00,40.40,16.72,8.08,24.80,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.23,44.1,44.0,10.1,10.1,14.3,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.44,,40.8,43.4,12.9,10.1,14.6,,43.52,8.24,51.76,32.40,8.08,40.48,16.80,8.08,24.88,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.05,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.91,,41.5,44.2,12.5,10.1,14.6,,41.92,8.24,50.16,32.40,8.00,40.40,16.80,8.08,24.88,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.74,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.12,,41.1,43.4,13.0,10.1,14.7,,43.68,8.32,52.00,32.40,8.00,40.40,16.88,8.08,24.96,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,195.99,44.1,44.0,10.1,10.1,14.2,78.3 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.88,,41.5,44.2,15.6,10.1,14.7,,53.84,8.40,62.24,32.40,8.00,40.40,16.96,8.08,25.04,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,199.57,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.20,,40.8,43.4,14.9,10.1,14.7,,50.96,8.48,59.44,32.40,8.00,40.40,17.04,8.08,25.12,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
420,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,196.99,44.1,44.0,12.1,10.0,14.2,80.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.40,,41.6,44.1,16.2,10.1,14.8,,56.40,8.48,64.88,32.40,8.00,40.40,17.12,8.08,25.20,40.25,8.00,48.25,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
430,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,198.59,44.1,44.0,10.0,10.0,14.2,78.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.65,,41.1,43.4,13.1,10.1,14.8,,44.08,8.40,52.48,32.40,8.00,40.40,17.20,8.08,25.28,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
440,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,171.64,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,107.20,,41.1,44.0,12.2,10.1,15.0,,40.40,8.48,48.88,32.40,8.00,40.40,17.52,8.08,25.60,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
450,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,200.23,44.1,44.0,14.1,10.1,14.2,82.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,91.90,,40.8,43.4,15.7,10.1,14.8,,54.16,8.48,62.64,32.40,8.00,40.40,17.04,8.08,25.12,48.37,8.00,56.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
460,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,197.08,44.1,44.0,20.1,10.1,14.3,88.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.36,,41.4,44.0,21.4,10.1,14.8,,77.20,8.48,85.68,32.40,8.00,40.40,17.12,8.08,25.20,72.37,8.00,80.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
470,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,198.55,44.1,44.0,18.1,10.1,14.3,86.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.67,,41.0,43.3,18.3,10.1,14.9,,64.64,8.40,73.04,32.32,8.00,40.32,17.28,8.08,25.36,64.37,8.00,72.37,32.37,8.00,40.37,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
480,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,188.69,44.1,44.0,10.0,10.0,14.2,78.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.52,,41.0,44.0,11.6,10.1,15.0,,38.00,8.24,46.24,32.40,8.00,40.40,17.44,8.08,25.52,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
490,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,176.39,44.1,44.0,14.1,10.0,14.1,82.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,104.32,,41.4,43.3,16.2,10.1,15.0,,56.16,8.64,64.80,32.32,8.00,40.32,17.52,8.08,25.60,48.25,8.00,56.25,32.12,8.00,40.12,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
500,21.74,410.18,0.60,21.82,411.69,0.60,203.95,196.57,44.1,44.0,22.1,10.1,14.3,90.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.60,,41.6,43.9,16.6,10.1,15.1,,58.08,8.40,66.48,32.32,8.00,40.32,17.60,8.08,25.68,80.37,8.00,88.37,32.37,8.00,40.37,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
510,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,136.47,44.1,44.0,14.1,10.1,14.1,82.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,134.83,,39.3,43.3,27.0,10.1,15.2,,98.40,9.44,107.84,32.40,8.00,40.40,17.76,8.08,25.84,48.37,8.00,56.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
520,21.74,410.18,0.60,21.82,411.69,0.60,203.95,179.09,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,102.74,,40.3,43.9,22.6,10.1,15.0,,81.76,8.40,90.16,32.32,8.00,40.32,17.60,8.08,25.68,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
530,21.74,410.18,0.60,21.82,411.69,0.60,203.95,198.82,44.1,44.0,22.1,10.0,14.1,90.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.55,,40.9,43.3,22.6,10.1,15.0,,81.84,8.40,90.24,32.32,8.00,40.32,17.44,8.08,25.52,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
540,21.74,410.18,0.60,21.82,411.69,0.60,203.95,197.48,44.1,44.0,22.1,10.0,14.0,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.17,,41.4,43.9,22.7,10.1,15.0,,82.32,8.40,90.72,32.32,8.00,40.32,17.52,8.08,25.60,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
