N,threads,iterations,time,blocking factor,flop,lup,Gflop/s,Gflop/s (Roofline),Mlup/s,Mlup/s (Roofline),cy/CL,cy/CL (ECM),MLUP/s (ECM),l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
600,1,9,11.4349,,11434900000,1924608000,1,1.22,168.31,110.909090909091,57.04,54.62,175.755,0,0,0,0,0,0,,,
600,2,9,10.1815,,11505000000,1924608900,1.13,2.3,189.03,209.090909090909,50.79,28.73,334.145,0,0,0,0,0,0,,,
600,3,9,6.9354,,11512700000,1924642800,1.66,2.83,277.51,257.272727272727,34.59,21.81,440.165,0,0,0,0,0,0,,,
600,4,9,5.5742,,11538500000,1924604000,2.07,3.09,345.27,280.909090909091,27.8,18.99,505.525,0,0,0,0,0,0,,,
600,5,9,4.8253,,11532400000,1924619100,2.39,3.21,398.86,291.818181818182,24.07,17.62,544.835,0,0,0,0,0,0,,,
600,6,9,4.3756,,11507800000,1924607600,2.63,3.27,439.85,297.272727272727,21.83,17.62,544.835,0,0,0,0,0,0,,,
600,7,9,4.0918,,11538800000,1924619000,2.82,3.21,470.36,291.818181818182,20.41,17.62,544.835,0,0,0,0,0,0,,,
600,8,9,3.8954,,11530300000,1924639200,2.96,3.21,494.08,291.818181818182,19.43,17.62,544.835,0,0,0,0,0,0,,,
600,9,9,3.7866,,11511200000,1924615100,3.04,3.23,508.27,293.636363636364,18.89,17.62,544.835,0,0,0,0,0,0,,,
600,10,9,3.7028,,11515700000,1924641300,3.11,3.12,519.78,283.636363636364,18.47,17.62,544.835,0,0,0,0,0,0,,,
600,11,9,3.382,,11532000000,1924628000,3.41,3.54,569.08,321.818181818182,16.87,16.02,599.25,0,0,0,0,0,0,,,
600,12,9,3.1201,,11544300000,1924633600,3.7,3.83,616.85,348.181818181818,15.56,14.68,653.95,0,0,0,0,0,0,,,
600,13,9,2.8178,,11524800000,1924613700,4.09,4.12,683.02,374.545454545455,14.06,13.55,708.485,0,0,0,0,0,0,,,
600,14,9,2.6505,,11529600000,1924634000,4.35,4.54,726.14,412.727272727273,13.22,12.59,762.505,0,0,0,0,0,0,,,
600,15,9,2.4481,,11530500000,1924622700,4.71,4.95,786.17,450,12.21,11.75,817.02,0,0,0,0,0,0,,,
600,16,9,2.2817,,11545400000,1924613900,5.06,5.12,843.5,465.454545454545,11.38,11.01,871.93,0,0,0,0,0,0,,,
600,17,9,2.1363,,11536000000,1924635300,5.4,5.6,900.92,509.090909090909,10.66,10.37,925.745,0,0,0,0,0,0,,,
600,18,9,2.0086,,11529300000,1924620400,5.74,6.03,958.19,548.181818181818,10.02,9.79,980.59,0,0,0,0,0,0,,,
600,19,9,1.9379,,11530500000,1924625300,5.95,6.4,993.15,581.818181818182,9.67,9.27,1035.595,0,0,0,0,0,0,,,
600,20,9,1.895,,11540000000,1924618000,6.09,6.35,1015.63,577.272727272727,9.45,8.81,1089.67,0,0,0,0,0,0,,,
