N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
740,4,3.878984,16 797 740,20901258144,1607789088,5.38,414.48,44.80,33.42,8.02,32.15,7.83,292187354.62,201821332.00,41.44,39.98,494008686.62
750,2,2.153966,16 786 750,10881233792,837017984,5.05,388.59,48.40,40.12,8.02,32.16,7.81,157514997.03,105075435.00,48.14,39.97,262590432.03
760,2,2.242890,16 776 760,11323507312,871039024,5.04,388.35,48.40,40.14,8.02,32.16,7.74,167911025.32,109346356.00,48.16,39.90,277257381.32
770,2,2.320909,16 766 770,11777605632,905969664,5.07,390.34,48.40,40.06,8.02,32.12,7.80,179144881.64,113724048.00,48.08,39.92,292868929.64
780,2,2.549278,16 756 780,12243684752,941821904,4.80,369.44,51.04,47.82,8.02,32.16,7.77,186475399.67,118232861.00,55.84,39.93,304708260.67
790,2,2.624939,16 747 790,12721900672,978607744,4.84,372.80,51.04,47.17,8.02,32.15,7.71,193160473.63,122844613.00,55.19,39.86,316005086.63
800,2,2.612124,16 737 800,13212409392,1016339184,5.05,389.08,48.40,41.46,8.02,32.15,7.75,199293319.54,127565286.00,49.48,39.90,326858605.54
810,2,2.809858,16 728 810,13715366912,1055028224,4.87,375.47,49.68,48.37,8.02,32.16,7.81,204825465.42,132426245.00,56.39,39.97,337251710.42
820,2,2.912161,16 719 820,14230929232,1094686864,4.88,375.89,49.68,48.30,8.02,32.15,7.75,210047312.27,137397570.00,56.32,39.90,347444882.27
830,2,3.027053,16 711 830,14759252352,1135327104,4.87,375.05,49.68,48.35,8.02,32.16,7.81,217631319.26,142502197.00,56.37,39.97,360133516.26
840,2,3.117641,16 702 840,15300492272,1176960944,4.90,377.51,49.68,48.22,8.02,32.15,7.70,223490458.15,147721918.00,56.24,39.85,371212376.15
850,2,3.219780,16 694 850,15854804992,1219600384,4.92,378.78,49.68,48.26,8.02,32.14,7.77,229628122.04,153078280.00,56.28,39.91,382706402.04
860,2,3.302777,16 686 860,16422346512,1263257424,4.97,382.48,48.40,48.33,8.02,32.16,7.74,236222723.96,158533728.00,56.35,39.90,394756451.96
870,2,3.440314,16 678 870,17003272832,1307944064,4.94,380.18,49.68,48.38,8.02,32.15,7.78,244338559.95,164143445.00,56.40,39.93,408482004.95
880,2,3.538248,16 670 880,17597739952,1353672304,4.97,382.58,48.40,48.35,8.02,32.15,7.73,251018817.86,169875889.00,56.37,39.88,420894706.86
890,2,3.706245,16 663 890,18205903872,1400454144,4.91,377.86,49.68,47.18,8.02,32.14,7.79,259966852.87,175746631.00,55.20,39.93,435713483.87
900,2,3.694849,16 655 900,18827920592,1448301584,5.09,391.97,48.40,43.54,8.02,32.15,7.75,265161481.71,181731294.00,51.56,39.90,446892775.71
910,2,3.914370,16 648 910,19463946112,1497226624,4.97,382.49,48.40,48.33,8.02,32.15,7.81,272566375.64,187874671.00,56.35,39.96,460441046.64
920,2,4.036317,16 641 920,20114136432,1547241264,4.98,383.32,48.40,48.22,8.02,32.14,7.71,281706763.65,194144437.00,56.24,39.85,475851200.65
930,2,4.171796,16 634 930,20778647552,1598357504,4.97,383.13,48.40,48.33,8.02,32.14,7.81,288793522.56,200555052.00,56.35,39.95,489348574.56
940,2,4.307816,16 627 940,21457635472,1650587344,4.97,383.15,48.40,48.31,8.02,32.14,7.72,298000136.55,207105146.00,56.33,39.86,505105282.55
950,2,4.453268,16 621 950,22151256192,1703942784,4.97,382.62,48.40,48.32,8.02,32.15,7.77,309154331.61,213794247.00,56.34,39.92,522948578.61
960,2,4.506086,16 614 960,22859665712,1758435824,5.07,390.23,48.40,41.71,8.01,32.14,7.73,320960097.68,220624464.00,49.72,39.87,541584561.68
970,2,4.753177,16 608 970,23583020032,1814078464,4.96,381.65,48.40,48.33,8.02,32.14,7.78,328908413.60,227603151.00,56.35,39.92,556511564.60
980,2,4.912278,16 602 980,24321475152,1870882704,4.95,380.85,48.40,48.26,8.02,32.15,7.70,342064738.69,234723394.00,56.28,39.85,576788132.69
990,2,5.116456,16 596 990,25075187072,1928860544,4.89,376.99,49.68,48.29,8.02,32.14,7.78,356242454.81,242001922.00,56.31,39.92,598244376.81
1000,2,5.208680,16 590 1000,25844311792,1988023984,4.96,381.67,48.40,48.19,8.02,32.14,7.71,368204917.85,249412454.00,56.21,39.85,617617371.85
1010,2,5.440417,16 584 1010,26629005312,2048385024,4.89,376.51,49.68,48.27,8.04,32.14,7.78,384920270.78,259609785.00,56.31,39.92,644530055.78
1020,2,5.848704,16 578 1020,27429423632,2109955664,4.68,360.75,52.56,46.64,8.09,32.14,7.79,414284091.60,275362590.00,54.73,39.93,689646681.60
1030,2,6.132173,16 573 1030,28245722752,2172747904,4.60,354.31,52.56,48.51,8.07,32.13,7.77,441322161.36,291001930.00,56.58,39.90,732324091.36
1040,2,6.084923,16 567 1040,29078058672,2236773744,4.77,367.59,51.04,48.38,8.03,32.14,7.73,463413010.98,306841580.00,56.41,39.87,770254590.98
1050,2,6.333197,16 562 1050,29926587392,2302045184,4.72,363.48,51.04,48.38,8.03,32.13,7.78,495359250.84,323152850.00,56.41,39.91,818512100.84
1060,2,6.496520,16 556 1060,30791464912,2368574224,4.73,364.59,51.04,48.34,8.02,32.14,7.74,522597780.57,339883460.00,56.36,39.88,862481240.57
1070,2,6.850104,16 551 1070,31672847232,2436372864,4.62,355.66,52.56,48.33,8.03,32.13,7.76,555470520.39,356957870.00,56.36,39.89,912428390.39
1080,2,7.098732,16 546 1080,32570890352,2505453104,4.58,352.94,52.56,48.33,8.04,32.13,7.71,591754970.28,374415010.00,56.37,39.84,966169980.28
1090,2,7.313422,16 541 1090,33485750272,2575826944,4.57,352.20,52.56,48.34,8.03,32.09,7.80,625363210.10,392067200.00,56.37,39.89,1017430410.10
1100,2,7.617389,16 536 1100,34417582992,2647506384,4.51,347.56,54.08,48.30,8.03,32.15,7.76,645922209.69,410057130.00,56.33,39.91,1055979339.69
1110,2,8.067692,16 531 1110,35366544512,2720503424,4.38,337.20,55.68,48.32,8.07,32.14,7.79,675867309.45,428796610.00,56.39,39.93,1104663919.45
1120,2,8.512556,16 527 1120,36332790832,2794830064,4.26,328.31,57.44,48.51,8.15,32.12,7.76,704245709.16,447690190.00,56.66,39.88,1151935899.16
1130,2,8.714687,16 522 1130,37316477952,2870498304,4.28,329.38,57.44,48.35,8.14,32.15,7.78,723938608.80,466617700.00,56.49,39.93,1190556308.80
1140,2,9.085338,16 517 1140,38317761872,2947520144,4.21,324.42,57.44,48.34,8.11,32.13,7.74,752766708.54,486290300.00,56.45,39.87,1239057008.54
1150,2,9.159088,16 513 1150,39336798592,3025907584,4.29,330.37,57.44,48.50,8.13,32.13,7.78,783340008.35,505707300.00,56.63,39.91,1289047308.35
1160,2,9.453170,16 508 1160,40373744112,3105672624,4.27,328.53,57.44,48.32,8.14,32.14,7.70,809441008.08,525883100.00,56.46,39.84,1335324108.08
1170,2,9.790781,16 504 1170,41428754432,3186827264,4.23,325.49,57.44,48.33,8.14,32.13,7.78,836481907.81,546363100.00,56.47,39.91,1382845007.81
