,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,12.00,400.00,CPU bound,12.00,400.00,,399.82,288.05,46.0,28.0,0.0,0.0,0.0,46.0 ,46.0,28.0,0.0,0.0,0.0,46.0 ,63.88,46.6,36.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12.00,400.00,CPU bound,12.00,400.00,,400.00,247.38,46.0,28.0,7.2,0.0,0.0,46.0 ,46.0,28.0,6.0,0.0,0.0,46.0 ,74.38,61.6,42.0,7.3,0.1,0.0,20.16,9.12,29.28,.24,.08,.32,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,12.00,400.00,CPU bound,12.00,400.00,,399.82,309.47,46.0,28.0,6.8,6.8,0.0,46.0 ,46.0,28.0,6.0,6.0,0.0,46.0 ,59.46,46.1,29.4,7.5,6.4,0.0,21.20,8.64,29.84,17.68,8.08,25.76,0,0,0,18.50,8.62,27.12,18.50,8.62,27.12,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,12.00,400.00,CPU bound,12.00,400.00,,400.00,266.32,46.0,28.0,10.9,6.5,0.0,46.0 ,46.0,28.0,10.0,6.0,0.0,46.0 ,69.09,53.5,34.0,10.9,6.7,0.0,35.12,8.48,43.60,18.40,8.48,26.88,0,0,0,35.00,8.37,43.37,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,12.00,400.00,CPU bound,12.00,400.00,,399.82,305.94,46.0,28.0,10.7,6.5,0.0,46.0 ,46.0,28.0,10.0,6.0,0.0,46.0 ,60.14,46.0,28.4,10.7,6.6,0.0,34.56,8.40,42.96,17.92,8.32,26.24,0,0,0,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,12.00,400.00,CPU bound,12.00,400.00,,399.82,274.64,46.0,28.0,10.6,6.4,0.0,46.0 ,46.0,28.0,10.0,6.0,0.0,46.0 ,67.00,50.9,31.6,10.6,6.9,0.0,34.00,8.24,42.24,19.28,8.24,27.52,0,0,0,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,12.00,400.00,CPU bound,12.00,400.00,,399.82,321.62,46.0,28.0,10.5,6.4,0.0,46.0 ,46.0,28.0,10.0,6.0,0.0,46.0 ,57.21,46.1,28.0,10.5,6.8,0.0,33.76,8.24,42.00,19.04,8.24,27.28,0,0,0,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,12.00,400.00,CPU bound,12.00,400.00,,399.82,293.72,46.0,28.0,10.4,6.5,0.0,46.0 ,46.0,28.0,10.0,6.0,0.0,46.0 ,62.64,49.7,30.4,10.7,7.4,0.0,34.48,8.24,42.72,21.44,8.24,29.68,0,0,0,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
