,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,7.96,418.947368421053,,400,111.92,,,,,,,36,44,0,0,0,44,157.26,915.04,0,0,0,0,0,0,0,0,0.32,0.32,0.64
20,7.96,418.947368421053,,7.96,418.947368421053,,352,148.16,36,44,8.7,0,0,52.7,36,44,6,0,0,50,118.79,733.84,11.36,38.32,49.68,38.32,0,0,0,0,0.24,0.24,0.48
30,6.28,330.526315789474,0.3,7.55,397.368421052632,0.26,258.823529411765,148.7,36,44,16,4,0,64,36,44,18,6,0,68,118.36,447.84,10.16,83.04,93.2,83.04,8.24,22.16,30.4,22.16,0.24,0.24,0.48
40,7.84,412.631578947368,0.27,7.55,397.368421052632,0.26,258.823529411765,146.73,36,44,17.3,6,0,67.3,36,44,18,6,0,68,119.95,517.2,9.52,77.76,87.28,77.76,9.44,24.08,33.52,24.08,0.24,0.24,0.48
50,7.55,397.368421052632,0.26,7.55,397.368421052632,0.26,258.823529411765,151.98,36,44,18,6,0,68,36,44,18,6,0,68,115.8,411.12,9.12,74.16,83.28,74.16,9.04,28.24,37.28,28.24,0.24,0.24,0.48
60,7.55,397.368421052632,0.26,7.55,397.368421052632,0.26,258.823529411765,155.09,36,44,18,4,0,66,36,44,18,6,0,68,113.48,461.76,9.04,72.8,81.84,72.8,8.88,42.24,51.12,42.24,0.24,0.24,0.48
70,7.55,397.368421052632,0.26,3.69,194.210526315789,0.26,220,151.9,36,44,18,8,0,70,36,44,18,18,0,80,115.87,397.6,8.8,71.04,79.84,71.04,8.72,57.36,66.08,57.36,0.24,0.24,0.48
80,3.69,194.210526315789,0.26,3.69,194.210526315789,0.26,220,157.41,36,44,18,18,0,80,36,44,18,18,0,80,111.81,436.4,8.8,71.12,79.92,71.12,8.72,69.44,78.16,69.44,0.24,0.24,0.48
90,3.69,194.210526315789,0.26,3.69,194.210526315789,0.26,220,150.35,36,44,18,18,0,80,36,44,18,18,0,80,117.06,390.56,8.64,69.44,78.08,69.44,8.56,70.16,78.72,70.16,0.24,0.24,0.48
