N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.77,0,31.1650684702404,0.05,2.29,0,24.1064483111566,0.06,9.7,10,7.8,0,0,30,306.65,11.7,8,7.8,0,0,15.76,1167.51,11.7,8,9,0,0,17,1314.28,52.08,10.4,62.48,0,0,0,0,0,0,51.62,10.37,61.99,0,0,0,0,0,0,40,8,48,0,0,0,0,0,0
20,1.66,0,33.1955694265104,0.06,1.85,0,29.8883248730964,0.06,11.1,10.3,6.7,14.5,0,33.93,271.15,11.7,8,6.7,13.3,0,27.99,657.37,11.7,8,9,15.36,0,32.36,707.69,45.04,8.88,53.92,49.12,8.8,57.92,0,0,0,44.37,8.87,53.24,44.37,8.87,53.24,0,0,0,40,8,48,40,8,48,0,0,0
30,1.72,0,32.1432253737729,0.06,1.85,0,29.8883248730964,0.06,9.3,8.5,6.8,13.4,0,34.87,263.82,11.7,8,6.5,12.9,0,27.36,672.51,11.7,8,9,15.36,0,32.36,707.69,46,8.56,54.56,45.2,8.56,53.76,0,0,0,43,8.62,51.62,43,8.62,51.62,0,0,0,40,8,48,40,8,48,0,0,0
40,1.75,0,31.4608402949182,0.06,1.85,0,29.8883248730964,0.06,10.1,9.1,6.7,13,0,34.03,270.35,11.7,8,6.3,12.6,0,26.95,682.74,11.7,8,9,15.36,0,32.36,707.69,45.44,8.48,53.92,43.76,8.4,52.16,0,0,0,42.12,8.37,50.49,42.12,8.37,50.49,0,0,0,40,8,48,40,8,48,0,0,0
50,1.77,0,31.1803233695808,0.06,1.85,0,29.8883248730964,0.06,9.3,8.3,6.7,12.8,0,33.9,271.36,11.7,8,6.3,12.5,0,26.78,687.07,11.7,8,9,15.36,0,32.36,707.69,44.96,8.32,53.28,42.72,8.32,51.04,0,0,0,41.75,8.37,50.12,41.75,8.37,50.12,0,0,0,40,8,48,40,8,48,0,0,0
60,1.79,0,30.91907357022,0.06,1.85,0,29.8883248730964,0.06,9.8,8.7,6.6,12.6,1,35.34,260.3,11.7,8,6.2,12.4,0,26.62,691.2,11.7,8,9,15.36,0,32.36,707.69,44.72,8.32,53.04,42.16,8.32,50.48,1.76,0.08,1.84,41.37,8.25,49.62,41.37,8.25,49.62,0,0,0,40,8,48,40,8,48,0,0,0
70,0.79542,0,69.3972426613704,0.06,0.78672,0,70.1648460774578,0.06,9.3,8.2,6.5,12.5,9.7,48.68,189.01,11.7,8,6.2,12.4,27.4,53.92,341.24,11.7,8,9,15.36,39.7,72.06,342.7,43.6,8.24,51.84,41.6,8.24,49.84,15.36,1.52,16.88,41.25,8.25,49.5,41.25,8.25,49.5,39.25,8.12,47.37,40,8,48,40,8,48,40,8,48
80,0.76705,0,71.9638727308838,0.06,0.78672,0,70.1648460774578,0.06,9.7,8.6,6.3,12.4,24.8,68.62,134.07,11.7,8,6.2,12.3,28.4,54.86,335.39,11.7,8,9,15.36,39.7,72.06,342.7,42.32,8.24,50.56,41.44,8.24,49.68,36.72,6.32,43.04,41,8.25,49.25,41,8.25,49.25,41,8.25,49.25,40,8,48,40,8,48,40,8,48
90,0.76896,0,71.7852186636583,0.06,0.78672,0,70.1648460774578,0.06,9.9,8.8,6.3,12.3,28.5,71.65,128.41,11.7,8,6.1,12.3,28.3,54.74,336.13,11.7,8,9,15.36,39.7,72.06,342.7,42,8.16,50.16,41.2,8.16,49.36,41.28,8.16,49.44,40.87,8.12,48.99,40.87,8.12,48.99,40.87,8.12,48.99,40,8,48,40,8,48,40,8,48
100,0.77144,0,71.5546055906222,0.06,0.78672,0,70.1648460774578,0.06,9.6,8.5,6.3,12.3,28.5,72.77,126.43,11.7,8,6.1,12.2,28.2,54.6,336.99,11.7,8,9,15.36,39.7,72.06,342.7,42,8.16,50.16,41.04,8.16,49.2,41.28,8.24,49.52,40.87,8.12,48.99,40.87,8.12,48.99,40.87,8.12,48.99,40,8,48,40,8,48,40,8,48
