N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,13.80,920.00,CPU bound,11.45,763.33,0.31,612.53,208.69,20.0,18.0,0.0,0.0,0.0,20.0 ,20.0,18.0,12.0,0.0,0.0,30.0 ,88.17,43.9,63.5,2.2,0.0,0.1,6.64,2.24,8.88,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,8.49,566.00,0.23,9.23,615.33,0.31,437.52,364.01,20.0,18.0,16.2,5.0,0.0,39.2 ,20.0,18.0,12.0,12.0,0.0,42.0 ,50.55,21.2,24.3,17.5,9.2,0.0,59.68,10.24,69.92,32.24,4.56,36.80,.08,0,.08,54.87,10.00,64.87,16.62,3.50,20.12,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
30,5.84,389.33,0.16,6.87,458.00,0.19,367.52,329.70,20.0,18.0,23.5,14.6,0.0,56.1 ,20.0,18.0,20.0,12.0,0.0,50.0 ,55.81,25.5,28.1,23.8,15.9,0.1,85.68,9.36,95.04,54.32,9.28,63.60,.08,0,.08,84.87,9.25,94.12,49.12,9.25,58.37,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
40,6.12,408.00,0.17,6.87,458.00,0.19,367.52,343.97,20.0,18.0,22.5,13.8,0.0,54.3 ,20.0,18.0,20.0,12.0,0.0,50.0 ,53.49,20.5,20.7,22.9,14.8,0.0,82.64,9.04,91.68,50.32,8.96,59.28,.08,0,.08,81.00,8.87,89.87,46.37,8.87,55.24,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
50,6.26,417.33,0.17,6.87,458.00,0.19,367.52,371.60,20.0,18.0,22.0,13.4,0.0,53.4 ,20.0,18.0,20.0,12.0,0.0,50.0 ,49.52,23.1,23.7,22.1,14.8,0.0,79.44,8.72,88.16,50.40,8.72,59.12,.08,0,.08,79.12,8.75,87.87,45.00,8.75,53.75,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
60,6.37,424.66,0.17,6.87,458.00,0.19,367.52,340.38,20.0,18.0,21.6,13.3,0.0,52.9 ,20.0,18.0,20.0,12.0,0.0,50.0 ,54.06,20.3,19.7,21.8,17.0,0.0,78.48,8.72,87.20,59.20,8.56,67.76,.08,0,.08,77.75,8.62,86.37,44.50,8.62,53.12,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
70,5.25,350.00,0.18,5.54,369.33,0.19,316.82,358.88,20.0,18.0,21.4,21.1,0.0,60.4 ,20.0,18.0,20.0,20.0,0.0,58.0 ,51.27,22.3,22.0,21.4,21.4,0.1,77.28,8.48,85.76,77.28,8.48,85.76,.08,0,.08,76.87,8.50,85.37,75.87,8.50,84.37,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
80,5.26,350.66,0.18,5.54,369.33,0.19,316.82,328.35,20.0,18.0,21.2,21.1,0.0,60.2 ,20.0,18.0,20.0,20.0,0.0,58.0 ,56.04,20.4,19.3,21.9,21.5,0.7,78.88,8.64,87.52,77.36,8.48,85.84,1.12,.08,1.20,76.25,8.37,84.62,75.87,8.37,84.24,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
90,3.50,233.33,0.28,3.93,262.00,0.31,214.42,262.55,20.0,18.0,21.0,21.0,31.1,91.1 ,20.0,18.0,20.0,20.0,27.7,85.7 ,70.08,22.0,21.0,21.1,21.2,10.5,76.00,8.40,84.40,76.56,8.32,84.88,16.32,1.92,18.24,75.75,8.37,84.12,75.37,8.37,83.74,44.75,9.25,54.00,72.00,8.00,80.00,72.00,8.00,80.00,40.00,8.00,48.00
100,3.75,250.00,0.30,3.93,262.00,0.31,214.42,207.35,20.0,18.0,20.9,20.9,29.1,88.9 ,20.0,18.0,20.0,20.0,27.7,85.7 ,88.74,20.5,19.0,21.0,21.0,24.0,75.52,8.32,83.84,75.84,8.32,84.16,34.24,7.44,41.68,75.37,8.37,83.74,75.37,8.37,83.74,42.00,8.37,50.37,72.00,8.00,80.00,72.00,8.00,80.00,40.00,8.00,48.00
110,3.77,251.33,0.30,3.93,262.00,0.31,214.42,188.74,20.0,18.0,20.8,20.8,28.9,88.6 ,20.0,18.0,20.0,20.0,27.7,85.7 ,97.49,21.9,20.5,20.9,20.9,28.7,75.12,8.32,83.44,75.36,8.24,83.60,41.44,8.32,49.76,75.00,8.25,83.25,75.00,8.25,83.25,41.87,8.37,50.24,72.00,8.00,80.00,72.00,8.00,80.00,40.00,8.00,48.00
