,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,16.93,319.43,CPU bound,16.93,319.43,,319.33,191.24,60.1,32.0,0.0,0.0,0.0,60.1 ,60.1,32.0,0.0,0.0,0.0,60.1 ,100.40,47.6,75.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,16.93,319.43,CPU bound,16.93,319.43,,319.46,221.82,60.1,32.0,3.6,0.0,0.0,60.1 ,60.1,32.0,3.0,0.0,0.0,60.1 ,86.56,47.1,63.0,3.7,0.0,0.0,20.16,9.12,29.28,0,0,0,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,16.93,319.43,CPU bound,16.93,319.43,,319.46,262.50,60.1,32.0,3.4,0.0,0.0,60.1 ,60.1,32.0,3.0,0.0,0.0,60.1 ,73.14,41.0,56.1,4.0,0.0,0.0,23.20,8.72,31.92,0,0,0,0,0,0,18.50,8.62,27.12,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,16.93,319.43,CPU bound,16.93,319.43,,319.33,251.29,60.1,32.0,5.4,0.0,0.0,60.1 ,60.1,32.0,5.0,0.0,0.0,60.1 ,76.40,43.1,55.6,5.5,6.3,0.0,35.36,8.48,43.84,6.32,6.32,12.64,0,0,0,35.00,8.37,43.37,0,0,0,0,0,0,32.00,8.00,40.00,0,0,0,0,0,0
50,16.93,319.43,CPU bound,16.93,319.43,,319.46,275.43,60.1,32.0,5.3,8.7,0.0,60.1 ,60.1,32.0,5.0,8.0,0.0,60.1 ,69.71,40.5,53.1,5.4,17.2,0.0,34.48,8.40,42.88,17.20,17.20,34.40,.08,0,.08,34.37,8.37,42.74,17.50,17.50,35.00,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,16.93,319.43,CPU bound,16.93,319.43,,319.46,268.60,60.1,32.0,5.3,8.7,0.0,60.1 ,60.1,32.0,5.0,8.0,0.0,60.1 ,71.48,42.0,53.3,5.3,17.3,0.0,34.16,8.32,42.48,17.36,17.36,34.72,0,0,0,34.00,8.25,42.25,17.37,17.37,34.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,16.93,319.43,CPU bound,16.93,319.43,,319.46,284.64,60.1,32.0,5.2,8.8,0.0,60.1 ,60.1,32.0,5.0,8.0,0.0,60.1 ,67.45,40.2,51.9,5.3,17.1,0.0,33.76,8.24,42.00,17.12,17.12,34.24,0,0,0,33.62,8.25,41.87,17.50,17.50,35.00,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,16.93,319.43,CPU bound,16.93,319.43,,319.46,273.07,60.1,32.0,5.2,8.8,0.0,60.1 ,60.1,32.0,5.0,8.0,0.0,60.1 ,70.31,41.5,52.2,5.3,17.0,0.0,34.08,8.24,42.32,17.04,16.96,34.00,0,0,0,33.50,8.25,41.75,17.62,17.62,35.24,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
