,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.15,676.66,,10.15,676.66,,676.61,136.66,26,25,0,0,0,26,26,25,0,0,0,26,128.79,0,0,0,0,0,0,0.24,0.24,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10.15,676.66,,10.15,676.66,,567.48,255.12,26,25,8.7,0,0,33.7,26,25,6,0,0,31,68.99,26,10.24,36.24,0,0,0,0.16,0.16,0.32,24.87,10,34.87,0,0,0,0,0,0,16,8,24,0,0,0,0,0,0
30,6.72,448,0.23,7.66,510.66,0.27,391.11,274.41,26,25,16,7.6,0,48.6,26,25,14,6,0,45,64.14,50.08,9.36,59.44,21.68,8.72,30.4,0.16,0.16,0.32,54.62,9.25,63.87,21.25,9.25,30.5,0,0,0,48,8,56,16,8,24,0,0,0
40,6.79,452.66,0.24,7.66,510.66,0.27,390.93,238.27,26,25,15.8,7.2,0,48,26,25,14,6,0,45,73.87,54.88,8.96,63.84,20.64,8.8,29.44,0.16,0.16,0.32,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48,8,56,16,8,24,0,0,0
50,6.95,463.33,0.24,7.66,510.66,0.27,391.11,288.19,26,25,15.4,6.9,0,47.3,26,25,14,6,0,45,61.07,53.52,8.72,62.24,20.4,8.56,28.96,0.16,0.16,0.32,53,8.75,61.75,18.87,8.75,27.62,0,0,0,48,8,56,16,8,24,0,0,0
60,7.08,472,0.25,7.66,510.66,0.27,391.11,291.14,26,25,15.2,6.8,0,47,26,25,14,6,0,45,60.45,52.48,8.64,61.12,19.92,8.56,28.48,0.08,0.08,0.16,52,8.62,60.62,18.87,8.62,27.49,0,0,0,48,8,56,16,8,24,0,0,0
70,7.16,477.33,0.25,7.66,510.66,0.27,390.93,298.91,26,25,15,6.9,0,46.8,26,25,14,6,0,45,58.88,51.76,8.48,60.24,25.6,8.4,34,0.08,0.08,0.16,51.5,8.5,60,19,8.5,27.5,0,0,0,48,8,56,16,8,24,0,0,0
80,3.71,247.33,0.27,3.75,250,0.27,331.92,252.16,26,25,14.9,14.1,0,54,26,25,14,14,0,53,69.8,51.84,8.48,60.32,44.8,8.4,53.2,0.16,0.16,0.32,51,8.37,59.37,48,8.37,56.37,0,0,0,48,8,56,48,8,56,0,0,0
