,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,8.87,682.30,0.53,9.08,698.46,0.54,413.30,474.78,10.0,8.0,10.2,10.2,16.9,45.3 ,10.0,8.0,10.0,10.0,16.5,44.5 ,38.76,10.7,7.8,10.2,10.2,15.7,32.72,8.16,40.88,32.72,8.00,40.72,14.88,7.92,22.80,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,8.90,684.61,0.53,9.08,698.46,0.54,413.48,459.50,10.0,8.0,10.2,10.2,16.9,45.2 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.04,10.2,7.2,10.2,10.1,17.0,32.72,8.16,40.88,32.64,7.92,40.56,16.56,8.08,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,8.90,684.61,0.53,9.08,698.46,0.54,413.48,459.81,10.0,8.0,10.2,10.2,16.9,45.2 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.02,10.5,7.7,10.2,10.2,17.0,32.72,8.08,40.80,32.64,8.00,40.64,16.64,8.16,24.80,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,8.92,686.15,0.53,9.08,698.46,0.54,413.30,463.30,10.0,8.0,10.2,10.2,16.8,45.2 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.72,10.5,7.2,10.2,10.1,17.0,32.64,8.08,40.72,32.64,7.84,40.48,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,8.93,686.92,0.53,9.08,698.46,0.54,413.30,462.37,10.0,8.0,10.2,10.2,16.8,45.1 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.79,10.5,7.6,10.2,10.1,17.0,32.72,8.08,40.80,32.56,7.92,40.48,16.56,8.08,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,8.96,689.23,0.53,9.08,698.46,0.54,413.30,473.19,10.0,8.0,10.1,10.1,16.7,45.0 ,10.0,8.0,10.0,10.0,16.5,44.5 ,38.89,10.3,7.2,10.2,10.1,17.0,32.56,8.08,40.64,32.56,7.92,40.48,16.56,8.08,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,8.94,687.69,0.53,9.08,698.46,0.54,413.48,461.52,10.0,8.0,10.1,10.1,16.8,45.1 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.87,10.3,7.5,10.2,10.1,16.9,32.56,8.08,40.64,32.48,8.00,40.48,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,8.95,688.46,0.53,9.08,698.46,0.54,413.30,460.74,10.0,8.0,10.1,10.1,16.8,45.0 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.94,10.4,7.2,10.2,10.1,16.9,32.56,8.08,40.64,32.48,7.92,40.40,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,8.99,691.53,0.54,9.08,698.46,0.54,413.48,467.83,10.0,8.0,10.1,10.1,16.7,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.33,11.4,7.9,10.1,10.1,16.9,32.48,8.08,40.56,32.48,7.76,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,8.96,689.23,0.53,9.08,698.46,0.54,413.30,457.23,10.0,8.0,10.1,10.1,16.8,45.0 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.24,11.1,7.6,10.1,10.1,16.9,32.40,8.08,40.48,32.40,7.92,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,8.95,688.46,0.53,9.08,698.46,0.54,413.48,464.16,10.0,8.0,10.1,10.1,16.8,45.0 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.64,11.6,7.8,10.1,10.1,16.9,32.48,8.08,40.56,32.40,7.84,40.24,16.48,8.08,24.56,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,9.00,692.30,0.54,9.08,698.46,0.54,413.48,473.20,10.0,8.0,10.1,10.1,16.7,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,38.88,10.8,7.6,10.1,10.1,16.8,32.48,8.08,40.56,32.40,7.84,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,9.01,693.07,0.54,9.08,698.46,0.54,413.30,465.91,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.49,11.2,7.7,10.1,10.1,16.9,32.48,8.08,40.56,32.40,7.84,40.24,16.48,8.08,24.56,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,9.02,693.84,0.54,9.08,698.46,0.54,413.30,451.66,10.0,8.0,10.1,10.1,16.6,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.74,11.0,7.5,10.1,10.1,16.8,32.40,8.08,40.48,32.32,7.92,40.24,16.40,8.08,24.48,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,9.00,692.30,0.54,9.08,698.46,0.54,413.48,470.02,10.0,8.0,10.1,10.1,16.7,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.15,11.5,7.7,10.1,10.0,16.9,32.40,8.08,40.48,32.32,7.76,40.08,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,9.01,693.07,0.54,9.08,698.46,0.54,413.48,462.69,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.77,10.6,7.5,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.84,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,8.99,691.53,0.54,9.08,698.46,0.54,413.48,469.80,10.0,8.0,10.1,10.1,16.7,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.17,11.1,7.6,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.76,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,8.99,691.53,0.54,9.08,698.46,0.54,413.48,466.02,10.0,8.0,10.1,10.1,16.7,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.48,10.9,7.4,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.84,40.16,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,9.00,692.30,0.54,9.08,698.46,0.54,413.30,466.45,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.45,10.9,7.6,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.68,40.00,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,9.01,693.07,0.54,9.08,698.46,0.54,413.48,469.48,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.19,10.6,7.4,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.76,40.08,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,9.01,693.07,0.54,9.08,698.46,0.54,413.48,458.74,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.11,11.0,7.5,10.1,10.0,17.0,32.32,8.08,40.40,32.24,7.76,40.00,16.64,8.08,24.72,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,8.99,691.53,0.54,9.08,698.46,0.54,413.30,467.89,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.33,10.8,7.4,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.84,40.08,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,9.01,693.07,0.54,9.08,698.46,0.54,413.48,465.66,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.51,11.1,7.5,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.76,40.00,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,9.01,693.07,0.54,9.08,698.46,0.54,413.48,459.06,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.08,10.6,7.4,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.92,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,9.01,693.07,0.54,9.08,698.46,0.54,413.48,462.81,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.76,10.9,7.5,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.92,40.16,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,9.08,698.46,0.54,9.08,698.46,0.54,413.48,456.37,10.0,8.0,10.1,10.1,16.5,44.6 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.32,10.4,7.3,10.1,10.0,16.9,32.40,8.08,40.48,32.24,7.76,40.00,16.48,8.08,24.56,32.12,8.00,40.12,32.12,8.00,40.12,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
