N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.63,93.92,0.0,CPU bound,2.63,93.92,0.0,,374.56,86.10,98.1,64.0,0.0,0.0,0.0,98.12,98.1,64.0,0.0,0.0,0.0,98.12,106.85,50.0,60.7,0.0,0.0,0.1,0,0,0,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.63,93.92,44.104309151824324,CPU bound,2.63,93.92,36.159672466734904,,374.56,103.31,98.1,64.0,11.0,0.0,0.0,98.12,98.1,64.0,9.0,0.0,0.0,98.12,89.05,43.1,38.7,11.1,1.6,0.1,76.72,11.84,88.56,5.12,1.20,6.32,.08,.08,.16,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.63,93.92,43.7037684270918,CPU bound,2.63,93.92,36.159672466734904,,374.56,77.30,98.1,64.0,10.9,8.3,0.0,98.12,98.1,64.0,9.0,6.0,0.0,98.12,119.02,40.2,35.4,11.4,9.2,0.1,82.16,9.44,91.60,27.52,9.28,36.80,.16,.08,.24,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.63,93.92,43.36690881956327,CPU bound,2.63,93.92,36.159672466734904,,374.56,76.96,98.1,64.0,10.8,7.9,0.0,98.12,98.1,64.0,9.0,6.0,0.0,98.12,119.54,40.1,34.1,10.6,17.6,0.1,76.00,8.48,84.48,61.92,8.48,70.40,.16,.08,.24,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.63,93.92,40.23250697383597,CPU bound,2.63,93.92,44.83248730964468,,374.56,76.99,98.1,64.0,10.0,14.4,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,119.50,39.6,33.4,10.3,17.6,0.1,73.68,8.72,82.40,61.92,8.64,70.56,.16,.08,.24,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.63,93.92,50.45170439787814,CPU bound,2.63,93.92,44.83248730964468,,374.56,88.98,98.1,64.0,10.1,20.3,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,103.39,42.6,34.9,10.0,19.5,0.1,71.92,8.32,80.24,69.76,8.24,78.00,.16,.08,.24,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.63,93.92,48.3015255499154,CPU bound,2.63,93.92,44.83248730964468,,374.56,89.49,98.1,64.0,9.7,19.4,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,102.81,41.5,34.3,10.1,20.1,0.1,72.08,8.56,80.64,72.00,8.48,80.48,.08,.08,.16,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.63,93.92,48.91900044430669,CPU bound,2.63,93.92,44.83248730964468,,374.56,87.84,98.1,64.0,9.8,19.6,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,104.73,41.3,33.9,10.7,19.8,0.6,76.72,8.88,85.60,70.80,8.24,79.04,.72,.24,.96,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.63,93.92,47.48577353637903,CPU bound,2.63,93.92,44.83248730964468,,374.56,88.51,98.1,64.0,9.5,19.1,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,103.95,41.0,33.5,10.3,19.6,3.6,73.68,8.64,82.32,70.16,8.40,78.56,3.68,2.48,6.16,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.63,93.92,48.010214010152275,CPU bound,2.63,93.92,44.83248730964468,,349.58,87.10,98.1,64.0,9.6,19.3,15.4,108.27,98.1,64.0,9.0,18.0,14.1,105.13,105.63,41.1,33.3,11.9,19.4,11.2,86.08,8.80,94.88,69.28,8.16,77.44,12.24,6.80,19.04,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
